code_v2006,code_v2024,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT111,AT111,AT111AT111,699.5061653658669,37542.87998847993,37481.0,4470.0,4732.0,19034686.99999995
AT112,AT112,AT112AT112,1783.7524446860375,150095.93652884205,162186.0,15495.0,16102.0,81441274.99999934
AT113,AT113,AT113AT113,1463.8939749971921,97496.28209803154,96918.0,11298.0,11977.0,47957355.0
AT121,AT121,AT121AT121,3347.5096320218254,240912.70889573044,248042.0,23691.0,25629.0,100360401.00000007
AT122,AT122,AT122AT122,3365.5706281299317,252520.19191795847,263146.0,24078.0,25322.0,98411044.9999997
AT123,AT123,AT123AT123,1225.2425893515149,148518.91357079867,157960.0,13686.0,14340.0,61267087.999999434
AT124,AT124,AT124AT124,4607.270891365361,219373.0164988361,215699.0,26563.0,27838.0,120770156.0
AT125,AT125,AT125AT125,2404.9383500318845,123331.20729339299,126272.0,15947.0,16983.0,72315544.00000024
AT126,AT126,AT126AT126,2716.035241237966,308536.2976765986,337412.0,30274.0,31287.0,129037216.9999979
AT127,AT112,AT127AT112,1.0718776760495654,0.0,0.0,54.0,54.0,0.0
AT127,AT127,AT127AT127,1468.4419824558545,322919.26095967874,350816.0,25307.0,26043.0,125333746.00000186
AT130,AT130,AT130AT130,410.89454855181657,1708830.67065594,1922612.0,26214.0,26361.0,516480699.99999976
AT211,AT211,AT211AT211,2020.3667648276307,276534.88773147366,292354.0,21793.0,23185.0,101582687.99999972
AT212,AT212,AT212AT212,4122.339328792163,127011.53222432546,123404.0,13110.0,13966.0,45689090.000000685
AT213,AT213,AT213AT213,3367.127142467323,152318.45000437266,148217.0,15425.0,17455.0,57585208.00000117
AT213,AT225,AT213AT225,1.015823245218708,0.0,0.0,3.0,11.0,67.99999999999999
AT221,AT221,AT221AT221,1194.7055655271342,404044.5476740465,450725.0,22346.0,23132.0,150757487.99999976
AT221,AT224,AT221AT224,31.79961428063399,690.4072298258533,649.0,81.0,92.0,342820.00000000006
AT222,AT222,AT222AT222,3262.648561382983,79246.02289549627,78930.0,9548.0,10360.0,30632798.99999996
AT223,AT222,AT223AT222,47.06449288154749,795.0000026077041,610.0,181.0,182.0,266090.00000000076
AT223,AT223,AT223AT223,3200.3458219894273,163873.81107118828,157212.0,14098.0,14798.0,54442973.99999965
AT224,AT221,AT224AT221,15.112185221871668,887.6672642752528,908.0,83.0,90.0,446784.0000000005
AT224,AT224,AT224AT224,3272.391900160613,262053.09135577115,265593.0,25140.0,27706.0,126184544.00000001
AT224,AT225,AT224AT225,67.94587232506561,3974.6317000854733,3775.0,523.0,560.0,2293928.0000000014
AT225,AT225,AT225AT225,2219.4310673919686,189720.98689252546,194180.0,18623.0,19779.0,80245344.99999979
AT226,AT226,AT226AT226,3054.632791134102,102793.2966667104,98530.0,10224.0,11130.0,40496964.00000016
AT311,AT311,AT311AT311,2817.2200446379193,276008.3200464997,293216.0,28405.0,30316.0,129492911.00000182
AT312,AT312,AT312AT312,1738.2770795963615,551413.6555064827,601130.0,33267.0,34453.0,199122834.00000048
AT313,AT313,AT313AT313,2653.5638875434715,204012.98686426567,211276.0,20099.0,21104.0,83566440.00000155
AT314,AT314,AT314AT314,2233.5041326514015,152317.95448339585,156576.0,13461.0,14151.0,66322588.00000039
AT315,AT222,AT315AT222,1.4264639996326673,0.0,0.0,0.0,0.0,85.00000000000009
AT315,AT315,AT315AT315,2510.104683613449,229336.7617802518,241171.0,19745.0,20967.0,91620987.99999979
AT321,AT321,AT321AT321,1017.6620209146773,20455.420246990823,20150.0,2867.0,3206.0,8790690.999999985
AT322,AT322,AT322AT322,4390.271489353296,162602.31476984502,170094.0,17651.0,19197.0,57557829.99999914
AT323,AT323,AT323AT323,1735.6421358372954,345805.2156709651,371260.0,18128.0,18786.0,102828121.00000028
AT331,AT331,AT331AT331,1233.831762804536,31603.394332486594,33204.0,4238.0,4339.0,13322898.000000006
AT332,AT332,AT332AT332,2090.290464359255,286448.05961891444,313190.0,11786.0,12154.0,102100006.00000049
AT333,AT333,AT333AT333,2012.4697994566598,49301.96295185728,48863.0,4718.0,4922.0,18577129.99999984
AT334,AT334,AT334AT334,3311.701223131043,100103.73290901766,105698.0,11476.0,11897.0,40353271.00000053
AT335,AT335,AT335AT335,3969.0694739998157,241886.19434560716,261700.0,20376.0,21343.0,92450429.99999997
AT341,AT341,AT341AT341,1870.3676081386811,86939.13979344096,92318.0,7596.0,8421.0,33451580.000000123
AT342,AT342,AT342AT342,722.2928523915517,282261.12303457264,307164.0,12822.0,13463.0,109269364.99999982
BE100,BE100,BE100BE100,161.980209246243,1130133.0335510965,1216231.0,14019.0,14085.0,328771413.9999994
BE211,BE211,BE211BE211,997.9809369187913,1003263.8033622621,1061076.0,50389.0,51033.0,320697561.9999998
BE211,BE236,BE211BE236,1.2397626971825304,0.0,0.0,0.0,0.0,3735.0
BE212,BE212,BE212BE212,511.3637316808216,328979.1325428817,349614.0,19593.0,20133.0,137487581.0000005
BE213,BE213,BE213BE213,1358.601181824895,439564.9265063595,467251.0,37337.0,38402.0,269375893.00000256
BE221,BE224,BE221BE224,883.1406970780421,402436.78278267966,423496.0,31342.0,32036.0,197474778.9999992
BE221,BE225,BE221BE225,25.24327407435999,10157.304433442643,10427.0,893.0,929.0,5183849.000000001
BE222,BE225,BE222BE225,884.5521658176075,234575.59803277577,243046.0,21738.0,22283.0,126556817.99999951
BE223,BE223,BE223BE223,632.8066931386911,200088.246977743,206051.0,14787.0,15497.0,87631434.00000072
BE231,BE231,BE231BE231,472.18907115664695,276566.0180600668,296156.0,15532.0,15987.0,103224739.00000045
BE232,BE232,BE232BE232,346.59599409718226,194511.56561992443,203294.0,11464.0,11876.0,80552617.99999988
BE233,BE233,BE233BE233,335.2756961136645,82433.71511172254,86334.0,6579.0,6900.0,34386277.000000075
BE234,BE234,BE234BE234,948.8181204973013,533989.3864603816,565187.0,34981.0,36142.0,199964360.99999893
BE235,BE235,BE235BE235,422.5377755485333,120367.64151388174,124825.0,8687.0,9125.0,47288105.99999983
BE236,BE211,BE236BE211,1.3055536915829609,0.0,0.0,0.0,0.0,1169.9999999999998
