code_v2006,code_v2021,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT11,AT11,AT11AT11,3947.1073699267354,285135.09861535346,296584.0,31263.0,32810.0,148432858.99999976
AT12,AT11,AT12AT11,1.0718776760495654,0.0,0.0,54.0,54.0,0.0
AT12,AT12,AT12AT12,19134.74885417433,1616092.0230542107,1699319.0,159546.0,167441.0,707488808.0000001
AT13,AT13,AT13AT13,410.89454855181657,1708830.67065594,1922612.0,26214.0,26361.0,516480699.99999976
AT21,AT21,AT21AT21,9509.833236089045,555864.8699601718,563975.0,50328.0,54606.0,204856986.00000158
AT21,AT22,AT21AT22,1.015823245218708,0.0,0.0,3.0,11.0,67.99999999999999
AT22,AT22,AT22AT22,16366.069746924713,1208079.4627525317,1251112.0,100847.0,107829.0,486109735.99999964
AT31,AT22,AT31AT22,1.4264639996326673,0.0,0.0,0.0,0.0,85.00000000000009
AT31,AT31,AT31AT31,11952.68427992313,1413089.6786808982,1503369.0,114977.0,120991.0,570125761.000004
AT32,AT32,AT32AT32,7143.575646100225,528862.950687801,561504.0,38646.0,41189.0,169176641.9999994
AT33,AT33,AT33AT33,12617.362723739392,709343.3441578832,762655.0,52594.0,54655.0,266803735.00000083
AT34,AT34,AT34AT34,2592.6604605743823,369200.2628280136,399482.0,20418.0,21884.0,142720944.99999994
BE10,BE10,BE10BE10,161.980209246243,1130133.0335510965,1216231.0,14019.0,14085.0,328771413.9999994
BE21,BE21,BE21BE21,2867.9458600173757,1771807.8624115032,1877941.0,107319.0,109568.0,727561036.0000029
BE21,BE23,BE21BE23,1.2397626971825304,0.0,0.0,0.0,0.0,3735.0
BE22,BE22,BE22BE22,2425.7428319261935,847257.9322266411,883020.0,68760.0,70745.0,416846879.9999994
BE23,BE21,BE23BE21,1.3055536915829609,0.0,0.0,0.0,0.0,1169.9999999999998
BE23,BE23,BE23BE23,3003.3217913789986,1446903.1253519594,1532713.0,93706.0,97440.0,573171011.9999992
BE24,BE24,BE24BE24,2116.8936826926497,1090042.046826209,1162659.0,69465.0,71263.0,373864625.00000054
BE25,BE25,BE25BE25,3164.2388360201358,1167222.995493401,1206335.0,81875.0,86576.0,643587090.0000011
BE31,BE31,BE31BE31,1096.5387618302464,382917.22247938055,408166.0,28799.0,29697.0,114394322.99999903
BE32,BE32,BE32BE32,3809.5774037076994,1320890.336310504,1351910.0,82362.0,85410.0,396556605.99999934
BE33,BE33,BE33BE33,3855.453738963308,1080430.26593563,1112940.0,67077.0,69749.0,287537441.99999994
BE34,BE34,BE34BE34,4457.6659408389405,272677.2147935409,291548.0,30914.0,32841.0,91922709.99999991
BE35,BE35,BE35BE35,3674.131861547725,477828.0862244226,500104.0,42475.0,44498.0,132411057.99999973
BG31,BG31,BG31BG31,19016.599853570217,846943.4295394483,689386.0,83689.0,85684.0,267941663.99999902
BG32,BG32,BG32BG32,14791.832889941114,860653.7182561798,698971.0,75086.0,77248.0,250535338.99999914
BG33,BG33,BG33BG33,14646.714706939398,965492.9140183617,828442.0,79305.0,80827.0,244020326.00000077
BG34,BG34,BG34BG34,19801.035717924995,1075596.8306283478,956387.0,101385.0,104866.0,296949717.0000006
BG41,BG41,BG41BG41,20287.699805008768,2132755.429743306,1981422.0,102542.0,106567.0,509782811.99999994
BG42,BG42,BG42BG42,22353.686772365618,1479219.8438335974,1306266.0,93028.0,96910.0,416565079.9999978
CH01,CH01,CH01CH01,8281.375250544235,1497295.4312416585,1684138.0,65940.0,69675.0,452775282.0000024
CH02,CH02,CH02CH02,9782.125961102227,1769914.8109600618,1906792.0,92625.0,96672.0,547627186.0000013
CH03,CH03,CH03CH03,1948.6149581820991,1071844.117256763,1186811.0,42308.0,43050.0,336422317.999999
CH04,CH04,CH04CH04,1663.3521241831902,1390603.6587443347,1563627.0,42392.0,42935.0,387606621.0000008
CH05,CH05,CH05CH05,11309.160638573929,1113270.2727708952,1203583.0,64678.0,69048.0,420604395.0000029
CH06,CH06,CH06CH06,4274.179528800677,755171.4516268851,832895.0,33182.0,34842.0,233658482.99999997
CH07,CH07,CH07CH07,2744.1002377778727,336510.7789274444,351957.0,17922.0,18823.0,130039486.99999975
CY00,CY00,CY00CY00,9229.058493316837,837170.2489028687,922640.0,96013.0,103780.0,491437641.9999961
CZ01,CZ01,CZ01CZ01,496.0568790426525,1268302.985238814,1302569.0,29058.0,29424.0,339418831.9999998
CZ02,CZ02,CZ02CZ02,10927.166483270194,1289503.4225484023,1414107.0,111202.0,115675.0,393258662.99999934
CZ02,CZ03,CZ02CZ03,87.9273525720262,124.10994309186957,65.0,10.0,12.0,73943.00000000016
CZ03,CZ03,CZ03CZ03,17612.493722713087,1198803.0862803743,1213200.0,100851.0,104074.0,397849779.0000018
CZ04,CZ04,CZ04CZ04,8647.089301050994,1104339.8361614672,1067779.0,79130.0,81016.0,241655956.99999934
CZ05,CZ05,CZ05CZ05,12439.619528273754,1492135.1427920968,1483756.0,106962.0,111160.0,401680069.9999985
CZ06,CZ06,CZ06CZ06,13977.342157468911,1669107.6353214975,1695316.0,109434.0,113000.0,461263148.9999993
CZ06,CZ07,CZ06CZ07,6.223384071959228,5.636363983154301,13.0,0.0,0.0,2339.0000000000005
CZ07,CZ07,CZ07CZ07,9223.894920925117,1208588.2912807378,1184167.0,77197.0,80287.0,297654642.99999875
CZ07,CZ08,CZ07CZ08,2.709884026994929,0.0,1.0,0.0,0.0,4100.000000000001
CZ08,CZ08,CZ08CZ08,5426.88426493545,1205545.0758407614,1162107.0,67359.0,70245.0,241524852.99999833
DE11,DE11,DE11DE11,10512.379632068849,3910823.892962133,4079919.0,162511.0,167104.0,1066394437.9999988
DE12,DE12,DE12DE12,6904.019274198272,2662845.089238636,2791516.0,111041.0,113636.0,817018876.0000024
DE13,DE13,DE13DE13,9344.87883792616,2144032.353298743,2263767.0,109667.0,113263.0,680668326.9999982
DE14,DE14,DE14DE14,8907.23669246756,1760547.9493422967,1860802.0,101404.0,105454.0,553951052.9999999
DE21,DE21,DE21DE21,17267.713512449063,4321566.53296516,4622125.0,215734.0,223481.0,1238838597.0000021
DE22,DE22,DE22DE22,10307.210523970083,1172146.2771235423,1222228.0,104902.0,109923.0,522175883.9999997
DE23,DE23,DE23DE23,9658.148172321264,1069480.3164213412,1088880.0,86414.0,91382.0,420351154.99999976
DE24,DE24,DE24DE24,7192.670668668831,1063339.5224256865,1037843.0,74033.0,77387.0,390910026.9999995
DE25,DE25,DE25DE25,7209.693121490706,1679815.3041994132,1751085.0,89145.0,91921.0,552439352.9999983
DE26,DE26,DE26DE26,8486.419660681193,1300522.209438362,1294243.0,88478.0,90843.0,509669902.0000004
DE27,DE27,DE27DE27,9945.038907568498,1774480.2720309892,1868747.0,110617.0,114819.0,654885074.0000011
DE30,DE30,DE30DE30,890.6973191165707,3282302.327512922,3549846.0,63515.0,63860.0,884633353.0000061
DE41,DE40,DE41DE40,15562.348539278435,1106713.562667009,1123543.0,126773.0,129632.0,395490477.999999
DE42,DE40,DE42DE40,14023.846848830555,1356709.0568034875,1382809.0,171644.0,176508.0,472314828.99999994
DE50,DE50,DE50DE50,384.4359072064648,644801.0388810029,684361.0,23884.0,24254.0,164233070.00000018
DE60,DE60,DE60DE60,739.7844230737878,1698437.9269677538,1794039.0,48622.0,48960.0,418297956.99999964
DE71,DE71,DE71DE71,7407.599149983968,3739084.756493792,3935671.0,139022.0,141493.0,1072294638.9999998
DE72,DE72,DE72DE72,5357.996586026889,1025268.8822191594,1018661.0,60628.0,62007.0,312862425.9999989
DE73,DE73,DE73DE73,8261.84943471297,1204041.7726820395,1179342.0,85274.0,87666.0,394800698.9999988
DE80,DE80,DE80DE80,23001.79516560535,1604072.1293531056,1552937.0,180555.0,185601.0,513914064.00000083
DE91,DE91,DE91DE91,8093.2151617213685,1577556.8780729587,1569194.0,101222.0,103653.0,517017052.99999803
DE92,DE92,DE92DE92,9049.881895907729,2095251.9359087516,2086781.0,125200.0,129484.0,705463445.0000029
DE93,DE50,DE93DE50,14.346210611817305,0.16733068227767947,2.0,59.0,11.0,5415.999999999997
DE93,DE93,DE93DE93,15431.707262361117,1672053.5340152658,1687246.0,159579.0,166659.0,647375235.0000037
DE94,DE94,DE94DE94,14944.417902634934,2436266.7286145384,2517562.0,202805.0,215226.0,949261555.9999986
DEA1,DEA1,DEA1DEA1,5278.954333644886,5074858.752681541,5153557.0,184532.0,188007.0,1519907284.000001
DEA2,DEA2,DEA2DEA2,7340.894776073931,4283041.295573298,4402986.0,179265.0,183772.0,1284189017.9999993
DEA3,DEA3,DEA3DEA3,6905.220894427942,2570188.799085718,2615559.0,130062.0,134670.0,895999105.0000043
DEA4,DEA4,DEA4DEA4,6514.96877587414,2028207.9699344346,2040418.0,115239.0,118867.0,683748591.9999994
DEA5,DEA5,DEA5DEA5,7998.11229681698,3573666.5327869225,3527801.0,157574.0,160442.0,1027894256.0000013
DEB1,DEB1,DEB1DEB1,8033.936310644945,1481350.7552597625,1495888.0,94403.0,96867.0,511672095.99999946
DEB2,DEB2,DEB2DEB2,4906.57304643582,517872.749775748,514116.0,44587.0,46179.0,195199047.0000003
DEB3,DEB3,DEB3DEB3,6794.248669966018,1987362.125154106,2033319.0,96986.0,99221.0,746291355.0000004
DEC0,DEC0,DEC0DEC0,2555.7527247690978,999476.5992350435,1000840.0,55384.0,56467.0,364273937.99999934
DED1,DED4,DED1DED4,6079.220857463018,1431516.4797015951,1324424.0,98647.0,100646.0,420947602.0000002
DED2,DED2,DED2DED2,7927.46821086017,1589904.5596329728,1573189.0,131368.0,135025.0,459366375.9999991
DED3,DED4,DED3DED4,422.70792511240023,66470.47029719508,61506.0,5574.0,5706.0,23982722.00000003
DED3,DED5,DED3DED5,3964.114800538582,966120.2138510288,1045403.0,66773.0,67968.0,314660853.9999996
DEE0,DEE0,DEE0DEE0,20504.61450175612,2286988.405778093,2131499.0,204070.0,209858.0,860389719.0000002
DEF0,DEF0,DEF0DEF0,15571.885998344755,2795627.9620990832,2896296.0,207299.0,215498.0,907127698.0000008
DEG0,DEG0,DEG0DEG0,16115.504160568227,2188225.193004922,2098465.0,159177.0,162680.0,690572386.0000014
DK01,DK01,DK01DK01,2514.0934745306226,1670581.9437868802,1836432.0,79063.0,80444.0,479782398.00000054
DK02,DK02,DK02DK02,7217.604138972738,812367.0643165999,836262.0,93227.0,97046.0,333619257.0000034
DK03,DK03,DK03DK03,12103.328422569251,1192268.6094149766,1220558.0,132759.0,140927.0,558844980.9999963
DK04,DK04,DK04DK04,13050.551466480672,1252858.4770971849,1328026.0,133619.0,141077.0,567999555.0000006
DK05,DK05,DK05DK05,7885.245668161769,574999.0849429731,588972.0,77729.0,80706.0,284148453.0000045
EE00,EE00,EE00EE00,43416.8389388515,1288014.806479407,1331299.0,131199.0,136286.0,382331736.9999974
ES11,ES11,ES11ES11,29562.855725811838,2745677.212443034,2693840.0,180845.0,185357.0,845890247.0000005
ES12,ES12,ES12ES12,10597.190107974935,1072591.4668000354,1011829.0,45563.0,45735.0,301564883.99999833
ES12,ES41,ES12ES41,1.2851985745053265,0.0,2.0,0.0,0.0,1072.9999999999995
ES13,ES13,ES13ES13,5316.6105666326885,587452.3701346641,584280.0,27537.0,28858.0,145031021.00000224
ES21,ES13,ES21ES13,4.9086240432260135,7.5418538749218,9.0,4.0,4.0,5262.000000000002
ES21,ES21,ES21ES21,7224.877391367534,2175433.2925401907,2210978.0,54337.0,56704.0,433635661.99999666
ES22,ES22,ES22ES22,10389.376942840809,638483.7488268309,661969.0,32006.0,32695.0,235502161.00000063
ES23,ES23,ES23ES23,5043.8200135756115,320756.73734431155,319392.0,17060.0,17031.0,122434756.99999958
ES24,ES24,ES24ES24,47715.15369447318,1338019.2641517106,1331982.0,82619.0,89959.0,464983732.9999937
ES30,ES30,ES30ES30,8014.475372240217,6420261.143858923,6726552.0,133251.0,136083.0,1295201428.9999812
ES41,ES11,ES41ES11,1.2515660832378328,0.0,0.0,0.0,0.0,0.0
ES41,ES41,ES41ES41,94207.77667760853,2528425.118029194,2384410.0,208081.0,219909.0,1032838810.0000013
ES42,ES42,ES42ES42,79442.09578175434,2102720.399377194,2051947.0,160000.0,163684.0,1028296257.0000067
ES43,ES43,ES43ES43,41633.16895079783,1103357.6891364504,1061543.0,71176.0,74478.0,503261783.0000067
ES51,ES51,ES51ES51,32089.555388405286,7499662.380827596,7748290.0,211527.0,222584.0,1984035773.9999971
ES52,ES52,ES52ES52,23251.437385091787,5005522.347379543,5066687.0,178284.0,184808.0,1770477935.9999943
ES53,ES53,ES53ES53,4986.507745111365,1088050.021039427,1181420.0,55066.0,57567.0,407615914.999998
ES61,ES61,ES61ES61,87594.55674797753,8362144.856981127,8482062.0,332863.0,350015.0,2568117427.000006
ES62,ES62,ES62ES62,11311.049047818307,1463039.1565362925,1517736.0,68829.0,71440.0,559331615.9999956
ES63,ES63,ES63ES63,18.270198687563916,78762.50270694678,82493.0,876.0,896.0,12687359.0
