code_v2006,code_v2024,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT11,AT11,AT11AT11,3947.152585049096,285135.0986153535,296585.0,31263.0,32811.0,148433316.99999928
AT12,AT11,AT12AT11,1.0718776760495654,0.0,0.0,54.0,54.0,0.0
AT12,AT12,AT12AT12,19135.00931459434,1616111.596812994,1699347.0,159546.0,167442.0,707495196.9999992
AT13,AT13,AT13AT13,410.89454855181657,1708830.67065594,1922612.0,26214.0,26361.0,516480699.99999976
AT21,AT21,AT21AT21,9509.833236087117,555864.8699601718,563975.0,50328.0,54606.0,204856986.00000158
AT21,AT22,AT21AT22,1.015823245218708,0.0,0.0,3.0,11.0,67.99999999999999
AT22,AT22,AT22AT22,16366.077872295347,1208079.4627525322,1251112.0,100847.0,107829.0,486109735.99999934
AT31,AT22,AT31AT22,1.4264639996326673,0.0,0.0,0.0,0.0,85.00000000000009
AT31,AT31,AT31AT31,11952.669828042603,1413089.6786808958,1503369.0,114977.0,120991.0,570125761.000004
AT32,AT32,AT32AT32,7143.575646105269,528862.950687801,561504.0,38646.0,41189.0,169176641.9999994
AT33,AT33,AT33AT33,12617.36272375131,709343.3441578832,762655.0,52594.0,54655.0,266803735.00000083
AT34,AT34,AT34AT34,2592.6604605302327,369200.2628280136,399482.0,20418.0,21884.0,142720944.99999994
BE10,BE10,BE10BE10,161.980209246243,1130133.0335510965,1216231.0,14019.0,14085.0,328771413.9999994
BE21,BE21,BE21BE21,2867.945850424508,1771807.8624115032,1877941.0,107319.0,109568.0,727561036.0000029
BE21,BE23,BE21BE23,1.2397626971825304,0.0,0.0,0.0,0.0,3735.0
BE22,BE22,BE22BE22,2425.7428301087007,847257.9322266411,883020.0,68760.0,70745.0,416846879.9999994
BE23,BE21,BE23BE21,1.3055536915829609,0.0,0.0,0.0,0.0,1169.9999999999998
BE23,BE23,BE23BE23,3003.321783980747,1446903.1253519594,1532713.0,93706.0,97440.0,573171011.9999992
BE24,BE24,BE24BE24,2116.893682693041,1090042.046826209,1162659.0,69465.0,71263.0,373864625.00000054
BE25,BE25,BE25BE25,3164.2388341519118,1167222.995493401,1206335.0,81875.0,86576.0,643587090.0000011
BE31,BE31,BE31BE31,1096.5387618302464,382917.22247938055,408166.0,28799.0,29697.0,114394322.99999903
BE32,BE32,BE32BE32,3809.5774036933,1320890.336310504,1351910.0,82362.0,85410.0,396556605.99999934
BE33,BE33,BE33BE33,3855.453738944189,1080430.26593563,1112940.0,67077.0,69749.0,287537441.99999994
BE34,BE34,BE34BE34,4457.66594083702,272677.2147935409,291548.0,30914.0,32841.0,91922709.99999991
BE35,BE35,BE35BE35,3674.131861567375,477828.0862244226,500104.0,42475.0,44498.0,132411057.99999973
BG31,BG31,BG31BG31,19016.59985097631,846943.4295394483,689386.0,83689.0,85684.0,267941663.99999902
BG32,BG32,BG32BG32,14791.832715246906,860653.7182561798,698971.0,75086.0,77248.0,250535338.99999914
BG33,BG33,BG33BG33,14646.713582874574,965492.9140183617,828442.0,79305.0,80827.0,244020326.00000077
BG34,BG34,BG34BG34,19801.035963452407,1075596.8306283478,956387.0,101385.0,104866.0,296949717.0000006
BG41,BG41,BG41BG41,20287.699804968335,2132755.429743306,1981422.0,102542.0,106567.0,509782811.99999994
BG42,BG42,BG42BG42,22353.68684760967,1479219.8438335974,1306266.0,93028.0,96910.0,416565079.9999978
CH01,CH01,CH01CH01,8281.375250592795,1497295.4312416585,1684138.0,65940.0,69675.0,452775282.0000024
CH02,CH02,CH02CH02,9782.125961054524,1769914.8109600618,1906792.0,92625.0,96672.0,547627186.0000013
CH03,CH03,CH03CH03,1948.6149581866357,1071844.117256763,1186811.0,42308.0,43050.0,336422317.999999
CH04,CH04,CH04CH04,1663.3521241277163,1390603.6587443347,1563627.0,42392.0,42935.0,387606621.0000008
CH05,CH05,CH05CH05,11309.16063866013,1113270.2727708952,1203583.0,64678.0,69048.0,420604395.0000029
CH06,CH06,CH06CH06,4274.179528828268,755171.4516268851,832895.0,33182.0,34842.0,233658482.99999997
CH07,CH07,CH07CH07,2744.100237735271,336510.7789274444,351957.0,17922.0,18823.0,130039486.99999975
CY00,CY00,CY00CY00,9229.058493316837,837170.2489028687,922640.0,96013.0,103780.0,491437641.9999961
CZ01,CZ01,CZ01CZ01,495.95670681389277,1268299.978598859,1302574.0,29059.0,29425.0,339419770.00000316
CZ02,CZ02,CZ02CZ02,10927.064765701683,1289501.4833674226,1414103.0,111201.0,115674.0,393256034.99999774
CZ02,CZ03,CZ02CZ03,87.9273525720262,124.10994309186957,65.0,10.0,12.0,73943.00000000016
CZ03,CZ03,CZ03CZ03,17612.46987998335,1198803.0862803739,1213200.0,100851.0,104074.0,397849779.00000083
CZ04,CZ04,CZ04CZ04,8647.018993346943,1104339.83616147,1067779.0,79130.0,81016.0,241656099.9999986
CZ05,CZ05,CZ05CZ05,12439.522535818107,1492135.1427920982,1483754.0,106964.0,111162.0,401679483.9999975
CZ06,CZ06,CZ06CZ06,13977.333273517106,1669107.6353214975,1695316.0,109434.0,113000.0,461263148.99999917
CZ06,CZ07,CZ06CZ07,6.223380582762271,5.636363983154301,13.0,0.0,0.0,2339.0000000000005
CZ07,CZ07,CZ07CZ07,9223.850562394746,1208588.2912807376,1184167.0,77198.0,80288.0,297654404.99999857
CZ07,CZ08,CZ07CZ08,2.709884026994929,0.0,1.0,0.0,0.0,4100.000000000001
CZ08,CZ08,CZ08CZ08,5426.904153285041,1205545.075840765,1162107.0,67359.0,70245.0,241524852.99999824
DE11,DE11,DE11DE11,10512.200185189902,3910720.613387138,4079840.0,162505.0,167098.0,1066371365.9999996
DE12,DE12,DE12DE12,6903.75927093484,2662837.6402590824,2791507.0,111037.0,113632.0,817011351.0000024
DE13,DE13,DE13DE13,9389.158176011126,2144500.3936218526,2263837.0,109690.0,113286.0,680698311.9999983
DE13,DE14,DE13DE14,1.4523317852745319,580.2066330909729,83.0,14.0,9.0,21969.999999999996
DE14,DE14,DE14DE14,8908.770515888507,1761748.8446656927,1860943.0,101429.0,105482.0,553989168.9999999
DE21,DE21,DE21DE21,17267.585302520427,4321571.468195325,4622120.0,215726.0,223472.0,1238835579.0000024
DE22,DE22,DE22DE22,10307.086987211356,1172139.4655500357,1222223.0,104900.0,109921.0,522173181.99999917
DE23,DE23,DE23DE23,9658.112534595586,1069480.316421341,1088880.0,86414.0,91382.0,420351155.0
DE24,DE24,DE24DE24,7192.622680637073,1063339.5224256867,1037843.0,74033.0,77387.0,390910026.99999964
DE25,DE25,DE25DE25,7209.658394890013,1679815.3041994127,1751085.0,89145.0,91921.0,552439352.9999987
DE26,DE26,DE26DE26,8486.203891447592,1300518.9797360082,1294180.0,88474.0,90839.0,509664228.0000004
DE27,DE27,DE27DE27,9945.111863672299,1774848.1932202964,1868794.0,110616.0,114819.0,654902236.0000007
DE30,DE30,DE30DE30,890.7027055536046,3282302.3275129218,3549846.0,63515.0,63860.0,884633353.0000056
DE41,DE40,DE41DE40,15562.075694008325,1106713.562667007,1123543.0,126773.0,129632.0,395490749.9999988
DE42,DE40,DE42DE40,14023.692608861458,1356647.5698783624,1382772.0,171639.0,176503.0,472301906.0000004
DE50,DE50,DE50DE50,384.43725816396756,644801.0388810029,684361.0,23884.0,24254.0,164233070.00000018
DE60,DE60,DE60DE60,739.7748636801359,1698437.9269677652,1794039.0,48622.0,48960.0,418297956.999999
DE71,DE71,DE71DE71,7407.341232273186,3738558.61815761,3935002.0,139007.0,141478.0,1072226132.0
DE72,DE72,DE72DE72,5357.996644289089,1025268.8822191594,1018661.0,60628.0,62007.0,312862425.9999989
DE73,DE73,DE73DE73,8261.777555576813,1204041.7726820393,1179342.0,85273.0,87665.0,394800698.9999988
DE80,DE80,DE80DE80,23001.742608179953,1604045.7826676962,1552937.0,180554.0,185600.0,513914064.00000095
DE91,DE91,DE91DE91,8093.20528182601,1577556.878072959,1569194.0,101222.0,103653.0,517017052.99999833
DE92,DE92,DE92DE92,9049.645283025851,2095242.411215498,2086780.0,125199.0,129481.0,705463242.0000026
DE93,DE50,DE93DE50,14.34620419645744,0.16733068227767947,2.0,59.0,11.0,5415.999999999997
DE93,DE93,DE93DE93,15431.57604228572,1672053.5340152676,1687246.0,159579.0,166659.0,647375235.0000032
DE94,DE94,DE94DE94,14944.21762803279,2436266.6322319205,2517560.0,202804.0,215224.0,949259858.999999
DEA1,DEA1,DEA1DEA1,5278.376614828672,5074754.817111335,5153457.0,184526.0,187999.0,1519871231.0000002
DEA2,DEA2,DEA2DEA2,7340.66731957535,4283033.397160593,4402983.0,179265.0,183772.0,1284188199.0000002
DEA3,DEA3,DEA3DEA3,6905.129357805048,2570180.1350917593,2615553.0,130059.0,134667.0,895996272.0000017
DEA4,DEA4,DEA4DEA4,6514.807934708042,2028207.969934435,2040418.0,115239.0,118867.0,683748591.9999992
DEA5,DEA5,DEA5DEA5,7997.907842510463,3573657.1630943646,3527780.0,157571.0,160439.0,1027887167.0000005
DEB1,DEB1,DEB1DEB1,8033.865400500841,1481350.7552597628,1495888.0,94403.0,96867.0,511672095.9999995
DEB2,DEB2,DEB2DEB2,4906.575174918475,517872.7497757478,514116.0,44587.0,46179.0,195199047.00000033
DEB3,DEB3,DEB3DEB3,6794.126243597369,1987309.1077995,2033258.0,96984.0,99219.0,746281002.0000002
DEC0,DEC0,DEC0DEC0,2555.7162835681265,999449.1750159133,1000803.0,55383.0,56466.0,364261037.9999996
DED1,DED4,DED1DED4,6079.277334140221,1431516.4797015947,1324424.0,98647.0,100646.0,420947601.9999997
DED2,DED2,DED2DED2,7927.3372669446,1589913.4791882792,1573190.0,131369.0,135026.0,459366585.9999995
DED3,DED4,DED3DED4,422.7079259196447,66470.47029719508,61506.0,5574.0,5706.0,23982722.00000003
DED3,DED5,DED3DED5,3964.0308705403027,966117.6602349818,1045400.0,66771.0,67966.0,314660171.9999988
DEE0,DEE0,DEE0DEE0,20504.128496570596,2286963.498438159,2131476.0,204068.0,209858.0,860384827.0000001
DEF0,DEF0,DEF0DEF0,15571.446282100964,2795604.7887294996,2896263.0,207298.0,215495.0,907116903.0
DEG0,DEG0,DEG0DEG0,16118.490528000531,2188219.756606775,2098465.0,159181.0,162684.0,690574225.0000008
DK01,DK01,DK01DK01,2514.072842718478,1671013.4357762204,1836894.0,79074.0,80455.0,479897524.99999964
DK02,DK02,DK02DK02,7217.627459810547,812363.3045013505,836256.0,93228.0,97047.0,333617616.9999973
DK03,DK03,DK03DK03,12103.371557601033,1192263.9447913235,1220547.0,132758.0,140926.0,558837640.0000008
