code_v2016,code_v2024,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT1,AT1,AT1AT1,23574.1535054489,3614399.2366755703,3923297.0,217549.0,227161.0,1374131788.999994
AT2,AT2,AT2AT2,25955.532980391086,1765285.9508627977,1816414.0,151468.0,162770.0,691575930.0000031
AT3,AT3,AT3AT3,34413.28785076762,3023294.0877796505,3229586.0,226978.0,239088.0,1149780021.9999986
BE1,BE1,BE1BE1,162.0983354244208,1130176.1008149374,1216332.0,14032.0,14098.0,328804752.9999998
BE2,BE2,BE2BE2,13591.870835139332,6324975.267414441,6664249.0,421307.0,435794.0,2735750121.0
BE3,BE3,BE3BE3,16903.718658593232,3536056.459962329,3665900.0,251748.0,262323.0,1023159927.0000033
BG3,BG3,BG3BG3,68327.22874906904,3748921.1003409815,3173275.0,339474.0,348636.0,1059480936.0000008
BG4,BG4,BG4BG4,42665.66043896011,3612010.893343143,3287688.0,195572.0,203481.0,926354191.9999976
CH0,CH0,CH0CH0,41285.77075037491,7950373.108520316,8734704.0,359464.0,375484.0,2510357686.999997
CY0,CY0,CY0CY0,9248.869976154157,838283.5171151398,923355.0,96506.0,104288.0,492103636.00000066
CZ0,CZ0,CZ0CZ0,78872.83299261991,10436715.738658212,10523356.0,681324.0,705012.0,2774520741.9999943
DE1,DE1,DE1DE1,35727.96938882056,10483776.145695375,11000993.0,484969.0,499828.0,3119318635.999999
DE2,DE2,DE2DE2,70529.55644381666,12395709.062413612,12897860.0,770765.0,801257.0,4293360262.0000014
DE3,DE3,DE3DE3,891.7743977905127,3282987.17381311,3550398.0,63556.0,63900.0,884792467.0000013
DE4,DE4,DE4DE4,29646.072569959106,2465115.323794846,2508111.0,298771.0,306518.0,868360347.0000014
DE5,DE5,DE5DE5,401.5809795110106,646474.9386952166,687111.0,24120.0,24445.0,164645299.0000011
DE6,DE6,DE6DE6,737.6156492461453,1698418.887701266,1794759.0,48641.0,48976.0,418422149.999994
DE7,DE7,DE7DE7,21107.129280147943,5969525.588949327,6134960.0,285230.0,291477.0,1780511426.000003
DE8,DE8,DE8DE8,23052.317895740845,1605932.8441652232,1554973.0,180923.0,185979.0,515001758.99999905
DE9,DE9,DE9DE9,47628.12468723828,7782997.09461347,7862511.0,589565.0,615811.0,2819841518.999996
DEA,DEA,DEADEA,34103.02700357656,17537242.98545807,17746594.0,767381.0,786522.0,5413735662.999995
DEB,DEB,DEBDEB,19846.27571646256,3989694.805006964,4046486.0,236619.0,242933.0,1454202872.0000002
DEC,DEC,DECDEC,2569.905377741207,1000092.3920712981,1001328.0,55494.0,56582.0,364468561.99999964
DED,DED,DEDDED,18444.978060016932,4056383.5291726426,4006918.0,302753.0,309745.0,1219755196.0000005
DEE,DEE,DEEDEE,20544.325203768647,2287232.239512556,2131741.0,204239.0,210033.0,860519257.9999989
DEF,DEF,DEFDEF,15610.488931408328,2798603.712231092,2900450.0,207631.0,215866.0,908284808.0000005
DEG,DEG,DEGDEG,16193.0584420566,2188498.22132331,2098666.0,159409.0,162911.0,690727024.0000017
DK0,DK0,DK0DK0,43127.269973150345,5515115.011579089,5817907.0,518409.0,542261.0,2226161808.999995
EE0,EE0,EE0EE0,45311.597305156196,1288872.0062373206,1331441.0,131474.0,136568.0,382496236.9999994
EL3,EL3,EL3EL3,3803.865396129408,3980636.0738381483,3810908.0,90498.0,92254.0,1332254294.9999957
EL4,EL4,EL4EL4,17458.11159408482,1145322.4389719367,1127297.0,79820.0,82522.0,413594221.9999997
EL5,EL5,EL5EL5,51623.95431857004,3160012.6166612827,2919275.0,219132.0,233517.0,1061487210.0000015
EL6,EL6,EL6EL6,58704.98485726772,2772630.813053921,2574130.0,239237.0,249684.0,957832537.999999
ES1,ES1,ES1ES1,45488.18398962003,4405769.246719484,4289965.0,253971.0,259976.0,1292505507.9999995
ES2,ES2,ES2ES2,70374.41319571153,4472641.594214896,4524221.0,186014.0,196383.0,1256557682.9999938
ES3,ES3,ES3ES3,8030.332352954253,6420646.8561344575,6726855.0,133295.0,136128.0,1295269156.999999
ES4,ES4,ES4ES4,215292.6013620197,5734724.424753906,5498125.0,439301.0,458116.0,2564461650.000012
ES5,ES5,ES5ES5,60338.53253155207,13593268.249370897,13996447.0,444886.0,464976.0,4162209236.0000014
ES6,ES6,ES6ES6,98937.0246260332,9985989.377889855,10169656.0,403669.0,423459.0,3155998803.0000076
ES7,ES7,ES7ES7,7446.3599346139345,2073661.53774971,2173779.0,75607.0,76136.0,546099907.9999988
FI1,FI1,FI1FI1,335906.08195463463,5267542.363580204,5418719.0,715470.0,764415.0,1717657175.9999967
FI2,FI2,FI2FI2,1302.9663811724606,27128.187129394057,29300.0,5943.0,6335.0,10422848.999999912
FR1,FR1,FR1FR1,12069.257887094667,11786003.057830904,12294420.0,301511.0,307135.0,2585172319.0000005
FRB,FRB,FRBFRB,39529.746693253,2547773.460412939,2567002.0,267001.0,281056.0,958114121.0000018
FRC,FRC,FRCFRC,48060.217419865214,2812442.5077311145,2795972.0,300608.0,312783.0,1092937279.9999998
FRD,FRD,FRDFRD,30073.552268265194,3306394.4180823145,3321276.0,305394.0,319563.0,1088690296.999999
FRE,FRE,FREFRE,31932.91497678392,5947488.766941482,5979995.0,399341.0,413937.0,1759076374.9999912
FRF,FRF,FRFFRF,57724.04163051736,5536207.523329854,5558822.0,433872.0,448253.0,1894195919.0
FRG,FRG,FRGFRG,32344.527976030935,3570029.629839949,3843191.0,363834.0,380523.0,1463956814.999998
FRH,FRH,FRHFRH,27404.1614316481,3187258.1747933608,3382932.0,342269.0,355102.0,1208213748.9999993
FRI,FRI,FRIFRI,84709.24234705776,5744835.504971236,6054592.0,628768.0,659444.0,2581326485.999993
FRJ,FRJ,FRJFRJ,73367.22434759708,5517230.739399445,6010531.0,459707.0,483937.0,2349539333.000007
FRK,FRK,FRKFRK,70899.95397940205,7580143.101739421,8103063.0,583195.0,607889.0,2595798688.9999986
FRL,FRL,FRLFRL,31677.8599334204,4887794.6959370095,5116541.0,308667.0,321105.0,1685027766.0000005
