code_v2010,code_v2021,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT1,AT1,AT1AT1,23510.194837820833,3609813.7794906106,3918394.0,217113.0,226709.0,1372378341.000003
AT2,AT2,AT2AT2,25897.880816521807,1764238.0827798068,1815352.0,151253.0,162524.0,691083062.9999986
AT3,AT3,AT3AT3,34355.11018217019,3021259.865299872,3227758.0,226710.0,238807.0,1149084240.9999986
BE1,BE1,BE1BE1,161.98068436920693,1130133.0335510965,1216231.0,14019.0,14085.0,328771413.9999994
BE2,BE2,BE2BE2,13585.558966653613,6324033.600564132,6663371.0,421196.0,435687.0,2735379076.0000024
BE3,BE3,BE3BE3,16901.542941423202,3535685.6392192636,3665578.0,251702.0,262275.0,1023056213.9999971
BG3,BG3,BG3BG3,68282.95110791599,3748920.7777603464,3173274.0,339473.0,348633.0,1059477572.0000006
BG4,BG4,BG4BG4,42665.66050739472,3612010.893343143,3287688.0,195572.0,203481.0,926354191.9999976
CH0,CH0,CH0CH0,41284.983702379366,7948861.478362843,8733599.0,359445.0,375465.0,2510108755.9999967
CY0,CY0,CY0CY0,9248.596002608492,838261.5916221495,923346.0,96488.0,104270.0,492098149.0000018
CZ0,CZ0,CZ0CZ0,78870.4662581095,10436698.946430624,10523337.0,681319.0,705007.0,2774508456.999999
DE1,DE1,DE1DE1,35720.30816165508,10483299.504057098,11000094.0,484919.0,499771.0,3119096560.0000014
DE2,DE2,DE2DE2,70517.12385105202,12394446.833211921,12897046.0,770681.0,801169.0,4293097640.000001
DE3,DE3,DE3DE3,891.7203836217594,3282953.1292400192,3550292.0,63551.0,63895.0,884773108.9999985
DE4,DE4,DE4DE4,29642.015078018478,2465035.8931908445,2508027.0,298725.0,306471.0,868326232.9999981
DE5,DE5,DE5DE5,401.09570111698577,645157.4215446287,684656.0,24091.0,24416.0,164330938.00000075
DE6,DE6,DE6DE6,737.515962863308,1698477.4124329204,1794755.0,48639.0,48974.0,418427365.00000036
DE7,DE7,DE7DE7,21104.170171969927,5969845.649238827,6135516.0,285200.0,291448.0,1780534491.0000021
DE8,DE8,DE8DE8,23049.216779902243,1605283.8137033528,1554229.0,180882.0,185937.0,514591078.0000005
DE9,DE9,DE9DE9,47622.03430801852,7782707.674686052,7862198.0,589506.0,615744.0,2819722167.9999967
DEA,DEA,DEADEA,34093.73281996902,17536272.41282259,17745544.0,767259.0,786391.0,5413426552.000004
DEB,DEB,DEBDEB,19843.327745804,3989605.6915916954,4046424.0,236601.0,242912.0,1454182933.0000007
DEC,DEC,DECDEC,2569.770790538554,1000074.7548006102,1001324.0,55490.0,56577.0,364459231.0000006
DED,DED,DEDDED,18443.858939823745,4056319.2360544805,4006844.0,302742.0,309733.0,1219725159.9999998
DEE,DEE,DEEDEE,20542.461178954192,2287159.8801154364,2131652.0,204206.0,210005.0,860453196.9999985
DEF,DEF,DEFDEF,15608.308568891336,2797959.6228795517,2899923.0,207568.0,215806.0,908099440.000001
DEG,DEG,DEGDEG,16191.854394511207,2188503.449061141,2098667.0,159408.0,162911.0,690725826.0000013
DK0,DK0,DK0DK0,43103.679223332605,5514260.401138289,5817021.0,518275.0,542096.0,2225860478.9999957
EE0,EE0,EE0EE0,45285.92704931268,1288699.2868847565,1331390.0,131378.0,136474.0,382449421.9999995
EL1,EL5,EL1EL5,42421.83885483643,2812771.9348545885,2600327.0,186426.0,200528.0,955222768.0000006
EL1,EL6,EL1EL6,14027.271613633082,744444.6248104649,686818.0,54935.0,58134.0,256468210.00000012
EL2,EL5,EL2EL5,9134.285858866919,343621.4646111494,317896.0,32363.0,32638.0,105692876.00000066
EL2,EL6,EL2EL6,44601.648293013495,2026482.613931014,1885684.0,183974.0,191200.0,700887337.9999967
EL3,EL3,EL3EL3,3797.993157872994,3980627.9279160863,3810897.0,90479.0,92230.0,1332247496.9999957
EL3,EL6,EL3EL6,2.1002508978745613,0.0,0.0,116.0,127.0,10884.000000000002
EL4,EL4,EL4EL4,17452.014126999766,1145322.438971936,1127290.0,79815.0,82517.0,413588697.9999991
ES1,ES1,ES1ES1,45482.93555596109,4405770.432808633,4289965.0,253971.0,259976.0,1292503937.0
ES2,ES2,ES2ES2,70374.41610397666,4472702.855026638,4524331.0,186023.0,196391.0,1256562856.9999928
ES3,ES3,ES3ES3,8030.147432098562,6420635.474296833,6726845.0,133294.0,136127.0,1295268364.0000045
ES4,ES1,ES4ES1,1.2515474005244864,0.0,0.0,0.0,0.0,0.0
ES4,ES4,ES4ES4,215296.91178777776,5734724.424753914,5498125.0,439302.0,458116.0,2564470100.000014
ES5,ES5,ES5ES5,60327.65699441519,13593255.35026018,13996437.0,444879.0,464961.0,4162165260.9999847
ES6,ES6,ES6ES6,98940.3767279813,9985992.951649912,10169658.0,403669.0,423459.0,3156001649.0000033
ES7,ES7,ES7ES7,7446.359934621892,2073661.53774971,2173779.0,75607.0,76136.0,546099907.9999988
FI1,FI1,FI1FI1,335908.13689195865,5267542.529506127,5418719.0,715471.0,764416.0,1717657921.9999988
FI2,FI2,FI2FI2,1302.9663811785756,27128.187129394057,29300.0,5943.0,6335.0,10422848.999999912
FR1,FR1,FR1FR1,12069.160029834497,11785706.661237814,12294246.0,301503.0,307127.0,2585144073.0000014
FR2,FRB,FR2FRB,39529.66765032198,2547773.4604129395,2567002.0,267001.0,281056.0,958113968.0000033
FR2,FRC,FR2FRC,31753.12777523159,1641036.1511770787,1618034.0,181968.0,188893.0,687115161.9999994
FR2,FRD,FR2FRD,30064.09072732719,3305702.406139774,3320902.0,305012.0,319179.0,1088520549.999998
FR2,FRE,FR2FRE,19492.105812537855,1915557.0349321817,1920882.0,169204.0,175679.0,602012798.9999973
FR2,FRF,FR2FRF,25725.823471551346,1335577.1519332961,1314413.0,138844.0,144961.0,507454395.000002
FR3,FRE,FR3FRE,12436.925415257381,4031603.680057352,4058791.0,230085.0,238209.0,1156960844.0000026
FR4,FRC,FR4FRC,16306.879985816766,1171404.0216484135,1177938.0,118639.0,123889.0,405822118.00000006
FR4,FRF,FR4FRF,31997.313539821193,4200629.177366758,4244403.0,295024.0,303288.0,1386738311.0000029
FR5,FRG,FR5FRG,32337.820816190724,3569693.1911820495,3842920.0,363702.0,380385.0,1463746674.9999983
FR5,FRH,FR5FRH,27386.251193360087,3185620.123280325,3382056.0,341986.0,354793.0,1207777741.0000021
FR5,FRI,FR5FRI,25927.70909139843,1768138.5443548695,1821506.0,217973.0,227307.0,847455741.0000017
FR6,FRI,FR6FRI,58775.8391292703,3976118.4645991405,4232704.0,410712.0,432044.0,1733667596.999995
FR6,FRJ,FR6FRJ,45602.724723641855,2881669.811730442,3117359.0,268809.0,282314.0,1249404440.000006
FR7,FRK,FR7FRK,71133.83146671318,7581226.175084708,8103378.0,583259.0,607953.0,2595939073.9999995
FR8,FRJ,FR8FRJ,27640.395713272617,2632271.140273702,2890082.0,190618.0,201339.0,1099344675.9999988
FR8,FRL,FR8FRL,31826.53224692431,4887396.89438582,5116198.0,308575.0,321017.0,1684779929.0000024
FR8,FRM,FR8FRM,8720.169395412884,306005.9870264376,346256.0,36230.0,38160.0,99955718.99999979
FR9,FRY,FR9FRY,88988.06990908997,88988.06990908997,88988.06990908997,88988.06990908997,88988.06990908997,88988.06990908997
HR0,HR0,HR0HR0,56265.071709086085,4251178.053797094,3860429.0,290304.0,301160.0,1242294477.0000045
HU1,HU1,HU1HU1,6914.867481089205,2946134.5351880398,3014022.0,125344.0,128193.0,925914238.000004
HU2,HU2,HU2HU2,36606.69634641122,3003259.2018467747,2893721.0,260730.0,268246.0,897650170.9999971
HU3,HU3,HU3HU3,49480.00646460397,3987689.201300539,3702478.0,315889.0,328465.0,1383417647.000001
IE0,IE0,IE0IE0,69889.56700662083,4564624.139361842,5142508.0,399952.0,419143.0,1376580498.0000036
IS0,IS0,IS0IS0,102653.90994182874,314515.3481022006,314515.3481022006,62828.0,64484.0,82934548.99999875
ITC,ITC,ITCITC,57955.65527934736,15740585.392396485,15799540.0,643030.0,679120.0,5704983188.000004
ITF,ITF,ITFITF,73261.05167680772,13927881.221068691,13487593.0,524505.0,552571.0,4688087290.000008
ITG,ITG,ITGITG,49817.29242576735,6619400.279072456,6410321.0,298628.0,313132.0,2537752291.000002
ITH,ITH,ITHITH,61508.28201280343,11418957.528794046,11510735.0,612342.0,640513.0,3846078119.000002
ITI,ITI,ITIITI,58021.65362894059,11578160.665862652,11694376.0,485666.0,504071.0,3469843451.999997
LT0,LT0,LT0LT0,64887.98319129292,3027198.087345472,2810716.0,256070.0,273737.0,997664431.9999964
LU0,LU0,LU0LU0,2595.3429941304285,511196.5598825774,642137.0,31985.0,33555.0,171950992.99999985
LV0,LV0,LV0LV0,64585.524916838796,2079529.3251781568,1888445.0,161091.0,167665.0,519989642.0000007
MT0,MT0,MT0MT0,315.33513090536013,411392.09677763015,517817.0,10644.0,10863.0,197268185.0000011
NL1,NL1,NL1NL1,8609.400201924045,1715912.620092291,1725867.0,118611.0,122562.0,530863714.0000006
NL2,NL2,NL2NL2,10123.266129754005,3530790.909208108,3692870.0,190266.0,196305.0,1101029432.000002
NL3,NL3,NL3NL3,9504.587233171012,7823922.752262946,8358974.0,286394.0,293103.0,1936114430.0000005
NL4,NL4,NL4NL4,7290.702771805161,3573843.897835429,3689948.0,194822.0,199334.0,1210518070.000006
NO0,NO0,NO0NO0,322494.24413677317,4767320.528595278,5308493.0,520030.0,551542.0,1572899001.9999995
PL1,PL7,PL1PL7,18218.804137973948,2538433.4876000695,2375413.0,149531.0,166397.0,654084462.0000007
PL1,PL9,PL1PL9,35558.44356508543,5276001.294568364,5479284.0,294351.0,322548.0,1453473663.0000024
PL2,PL2,PL2PL2,27517.48260407045,7947267.389292349,7624841.0,401451.0,433353.0,1582681077.0000012
PL3,PL7,PL3PL7,11708.71416795567,1280822.7301400804,1151488.0,89056.0,98460.0,328663648.9999961
PL3,PL8,PL3PL8,63155.50127286626,5505751.707948499,5047944.0,391695.0,428157.0,1481997969.9999928
PL4,PL4,PL4PL4,66255.15930167459,6190480.242754479,6023846.0,370712.0,413834.0,1540356886.0000072
PL5,PL5,PL5PL5,29358.291826830962,3933742.42887879,3736917.0,225868.0,245128.0,822812011.0000005
PL6,PL6,PL6PL6,60152.345428384964,5823555.765970359,5578421.0,290954.0,328687.0,1267670801.9999986
PT1,PT1,PT1PT1,88735.49040960519,10039062.423792759,9855372.0,632859.0,663722.0,4027294798.999994
PT2,PT2,PT2PT2,2322.855661521966,244212.61627116302,236183.0,18075.0,18321.0,45582971.999999344
PT3,PT3,PT3PT3,796.878156000736,266144.16026818793,250414.0,13708.0,13895.0,72736927.00000007
