code_v2006,code_v2016,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT11,AT11,AT11AT11,3947.0992381646174,285135.0986153537,296584.0,31263.0,32810.0,148432858.99999967
AT12,AT11,AT12AT11,1.0718776760495654,0.0,0.0,54.0,54.0,0.0
AT12,AT12,AT12AT12,19134.808503148117,1616092.0230542128,1699319.0,159549.0,167444.0,707488808.0000005
AT13,AT13,AT13AT13,410.89454855181657,1708830.67065594,1922612.0,26214.0,26361.0,516480699.99999976
AT21,AT21,AT21AT21,9509.68089103832,555864.8699601729,563975.0,50328.0,54606.0,204856286.0000004
AT21,AT22,AT21AT22,1.015823245218708,0.0,0.0,3.0,11.0,67.99999999999999
AT22,AT22,AT22AT22,16365.813711856548,1208079.1707817419,1251112.0,100847.0,107829.0,486109736.00000006
AT31,AT22,AT31AT22,1.4264639996326673,0.0,0.0,0.0,0.0,85.00000000000009
AT31,AT31,AT31AT31,11952.679773438987,1413088.3166630229,1503368.0,114977.0,120991.0,570125273.0000046
AT32,AT32,AT32AT32,7143.575646095056,528862.950687801,561504.0,38646.0,41189.0,169176641.9999994
AT33,AT33,AT33AT33,12617.361188219425,709343.3441578832,762655.0,52594.0,54655.0,266803735.00000077
AT34,AT34,AT34AT34,2592.660460531997,369200.2628280136,399482.0,20418.0,21884.0,142720944.99999994
BE10,BE10,BE10BE10,162.36814811431978,1133091.1424931323,1219234.0,14055.0,14121.0,329376397.0000017
BE21,BE21,BE21BE21,2872.9361434400407,1771817.0199823384,1877942.0,107320.0,109569.0,727565005.0000008
BE22,BE22,BE22BE22,2425.6751658306425,847261.9439568345,883021.0,68757.0,70744.0,416847215.00000197
BE23,BE23,BE23BE23,3005.611743780389,1446966.3521879283,1532828.0,93718.0,97446.0,573210922.9999993
BE24,BE24,BE24BE24,2117.286725088194,1090582.4533716189,1163103.0,69475.0,71273.0,373950134.000003
BE25,BE25,BE25BE25,3165.1144750150456,1167241.1558960308,1206350.0,81884.0,86587.0,643602989.0000012
BE31,BE31,BE31BE31,1096.5931294512336,382941.5565829648,408191.0,28802.0,29700.0,114404291.00000018
BE32,BE32,BE32BE32,3809.991324546897,1320934.6724963249,1351942.0,82363.0,85416.0,396562463.9999996
BE33,BE33,BE33BE33,3856.4400148384675,1080445.4206176437,1112949.0,67081.0,69753.0,287539643.9999993
BE34,BE34,BE34BE34,4457.981145098584,272677.21479354077,291548.0,30917.0,32844.0,91922791.99999973
BE35,BE35,BE35BE35,3674.2437355656716,477837.0202339765,500110.0,42476.0,44499.0,132413147.99999985
BG31,BG31,BG31BG31,19016.599853563705,846943.4295394483,689386.0,83689.0,85684.0,267941663.99999902
BG32,BG32,BG32BG32,14791.832889941114,860653.7182561798,698971.0,75086.0,77248.0,250535338.99999914
BG33,BG33,BG33BG33,14646.714706939398,965492.9140183617,828442.0,79305.0,80827.0,244020326.00000077
BG34,BG34,BG34BG34,19801.035717933588,1075596.8306283478,956387.0,101385.0,104866.0,296949717.0000006
BG41,BG41,BG41BG41,20287.6998049964,2132755.429743306,1981422.0,102542.0,106567.0,509782811.99999994
BG42,BG42,BG42BG42,22353.6867723748,1479219.8438335974,1306266.0,93028.0,96910.0,416565079.9999978
CH01,CH01,CH01CH01,8281.499953259783,1497295.4312416574,1684138.0,65940.0,69675.0,452775530.0000036
CH02,CH02,CH02CH02,9782.21846060723,1769919.1663611003,1906795.0,92624.0,96671.0,547629186.0000019
CH03,CH03,CH03CH03,1948.6183864977693,1071844.1172567634,1186811.0,42308.0,43050.0,336422317.999999
CH04,CH04,CH04CH04,1663.3521241566461,1390603.6587443347,1563627.0,42392.0,42935.0,387606621.0000008
CH05,CH05,CH05CH05,11309.246239097238,1113269.4191912552,1203583.0,64678.0,69048.0,420604395.0000025
CH06,CH06,CH06CH06,4274.298922635002,755171.4516268851,832895.0,33182.0,34842.0,233658417.99999994
CH07,CH07,CH07CH07,2744.1395392247464,336510.7789274444,351957.0,17922.0,18823.0,130039486.99999975
CY00,CY00,CY00CY00,9229.058493316837,837170.2489028687,922640.0,96013.0,103780.0,491437641.9999961
CZ01,CZ01,CZ01CZ01,496.0568793384966,1268302.985238814,1302569.0,29058.0,29424.0,339418831.9999998
CZ02,CZ02,CZ02CZ02,10927.288916489113,1289503.4225483937,1414107.0,111202.0,115675.0,393258382.9999998
CZ02,CZ03,CZ02CZ03,87.9273525720262,124.10994309186957,65.0,10.0,12.0,73943.00000000016
CZ03,CZ03,CZ03CZ03,17612.496707003793,1198803.0862803743,1213201.0,100851.0,104074.0,397850241.0000018
CZ04,CZ04,CZ04CZ04,8647.07595270269,1104339.8361614672,1067779.0,79130.0,81016.0,241655956.99999934
CZ05,CZ05,CZ05CZ05,12439.775610161243,1492135.1427920992,1483756.0,106962.0,111160.0,401680069.999998
CZ06,CZ06,CZ06CZ06,13977.35814132675,1669107.635321497,1695316.0,109434.0,113000.0,461263148.99999946
CZ06,CZ07,CZ06CZ07,6.223384071959228,5.636363983154301,13.0,0.0,0.0,2339.0000000000005
CZ07,CZ07,CZ07CZ07,9223.932852280497,1208588.291280738,1184167.0,77197.0,80288.0,297654877.999997
CZ07,CZ08,CZ07CZ08,2.709884026994929,0.0,1.0,0.0,0.0,4100.000000000001
CZ08,CZ08,CZ08CZ08,5426.884264936476,1205545.0758407614,1162107.0,67359.0,70245.0,241524852.99999833
DE11,DE11,DE11DE11,10515.455858294123,3911314.9945372534,4080167.0,162544.0,167140.0,1066460185.0
DE12,DE12,DE12DE12,6906.7548475133435,2663081.088502745,2791749.0,111073.0,113668.0,817076419.0000013
DE13,DE13,DE13DE13,9349.7335644359,2144176.247709399,2263996.0,109674.0,113271.0,680725927.9999989
DE14,DE14,DE14DE14,8910.767273472893,1760650.9458414859,1860910.0,101420.0,105474.0,554002922.0000013
DE21,DE21,DE21DE21,17267.618280852323,4321552.727158838,4622053.0,215730.0,223476.0,1238826790.0000007
DE22,DE22,DE22DE22,10308.44154628719,1172160.3837189372,1222247.0,104904.0,109925.0,522191681.0000011
DE23,DE23,DE23DE23,9658.891631844937,1069477.4544886816,1088891.0,86417.0,91384.0,420351694.9999987
DE24,DE24,DE24DE24,7193.559072421107,1063384.5169964547,1037864.0,74042.0,77396.0,390917817.00000024
DE25,DE25,DE25DE25,7210.606226818227,1679891.9756307954,1751081.0,89164.0,91942.0,552446717.0
DE26,DE26,DE26DE26,8487.67512013226,1300568.0792363058,1294278.0,88487.0,90853.0,509707863.99999976
DE27,DE27,DE27DE27,9946.00235408128,1774548.434316136,1868854.0,110621.0,114823.0,654914650.9999993
DE30,DE30,DE30DE30,890.7178400971286,3282302.327512922,3549846.0,63515.0,63860.0,884633353.0000061
DE41,DE40,DE41DE40,15563.425756258652,1106735.1619311536,1123551.0,126773.0,129632.0,395496905.99999905
DE42,DE40,DE42DE40,14026.54999249129,1356729.6872436486,1382808.0,171669.0,176538.0,472337833.9999996
DE50,DE50,DE50DE50,384.5265788802446,644807.2548308333,684365.0,23886.0,24255.0,164235269.00000075
DE60,DE60,DE60DE60,736.7885942184514,1697538.229727432,1793934.0,48595.0,48932.0,418242505.9999996
DE71,DE71,DE71DE71,7409.494038272967,3739029.1902146214,3936136.0,139047.0,141523.0,1072379893.0000002
DE72,DE72,DE72DE72,5358.318044866638,1025269.24251329,1018661.0,60630.0,62009.0,312860755.99999917
DE73,DE73,DE73DE73,8262.829833694776,1204349.4599346798,1179546.0,85291.0,87684.0,394840790.9999989
DE80,DE80,DE80DE80,23007.818358132874,1604091.1978325131,1553036.0,180569.0,185615.0,513952095.0000011
DE91,DE91,DE91DE91,8095.651989278725,1577568.692934619,1569202.0,101223.0,103655.0,517023996.9999993
DE92,DE92,DE92DE92,9053.404195262534,2095388.9012788646,2086804.0,125203.0,129488.0,705471180.000006
DE93,DE50,DE93DE50,14.351321575249472,0.16733068227767944,2.0,59.0,11.0,5415.999999999998
DE93,DE93,DE93DE93,15430.801713825993,1672108.3116327878,1687395.0,159571.0,166649.0,647429015.0000014
DE94,DE94,DE94DE94,14947.30306461833,2436425.2977103414,2517760.0,202820.0,215247.0,949332600.9999987
DEA1,DEA1,DEA1DEA1,5280.3251312349375,5074998.39697735,5153626.0,184548.0,188021.0,1519956819.000001
DEA2,DEA2,DEA2DEA2,7343.609754730043,4283091.819383498,4403034.0,179289.0,183780.0,1284202003.9999974
DEA3,DEA3,DEA3DEA3,6905.867008316391,2570213.0473160804,2615570.0,130070.0,134677.0,896009811.0000032
DEA4,DEA4,DEA4DEA4,6515.615876458786,2028583.3339718357,2040736.0,115254.0,118883.0,683832635.0000002
DEA5,DEA5,DEA5DEA5,8000.028066086829,3573668.7027271264,3527849.0,157578.0,160447.0,1027921152.000001
DEB1,DEB1,DEB1DEB1,8035.344460522294,1481351.3342562718,1495902.0,94400.0,96864.0,511681182.00000054
DEB2,DEB2,DEB2DEB2,4907.757592405174,517873.1005064364,514117.0,44593.0,46186.0,195200406.0000001
DEB3,DEB3,DEB3DEB3,6796.149236342358,1987277.2303309352,2033488.0,96992.0,99228.0,746319403.999999
DEC0,DEC0,DEC0DEC0,2556.0345387685647,999524.2366407377,1000847.0,55384.0,56470.0,364275531.9999999
DED1,DED4,DED1DED4,6079.918985453364,1431523.1603129446,1324428.0,98645.0,100644.0,420947736.00000125
DED2,DED2,DED2DED2,7927.808477673822,1590108.0730073901,1573334.0,131377.0,135035.0,459403384.9999993
DED3,DED4,DED3DED4,422.763761915538,66470.47029719528,61506.0,5574.0,5706.0,23982722.000000115
DED3,DED5,DED3DED5,3964.649225824863,966127.7650910112,1045415.0,66776.0,67971.0,314663861.99999976
DEE0,DEE0,DEE0DEE0,20507.21703186986,2286998.1352284173,2131508.0,204082.0,209869.0,860385630.0000014
DEF0,DEF0,DEF0DEF0,15573.157726714586,2795713.3293140666,2896500.0,207325.0,215525.0,907200904.999999
DEG0,DEG0,DEG0DEG0,16116.173954223372,2188185.081346235,2098446.0,159191.0,162697.0,690582568.0
DK01,DK01,DK01DK01,2514.0711815314216,1670790.0940804386,1836719.0,79069.0,80451.0,479861893.99999976
