code_v2021,code_v2024,uniqueID,areaKm,pop11,pop21,artif_surf12,artif_surf18,bu_vol
AT1,AT1,AT1AT1,23574.42147955418,3614399.236675568,3923297.0,217552.0,227164.0,1374131789.0
AT2,AT2,AT2AT2,25955.806181938155,1765285.950862797,1816414.0,151468.0,162770.0,691576630.0000023
AT3,AT3,AT3AT3,34413.38998632605,3023295.449797527,3229587.0,226978.0,239088.0,1149780510.0000005
BE1,BE1,BE1BE1,162.15929112575157,1130346.9561463678,1216512.0,14033.0,14099.0,328833364.99999917
BE2,BE2,BE2BE2,13595.156357837814,6328615.905004934,6667774.0,421396.0,435895.0,2736511015.0000033
BE3,BE3,BE3BE3,16905.382673820513,3536142.3418226494,3665965.0,251757.0,262337.0,1023175513.9999999
BG3,BG3,BG3BG3,68327.22874906904,3748921.1003409815,3173275.0,339474.0,348636.0,1059480936.0000026
BG4,BG4,BG4BG4,42665.66043896011,3612010.893343143,3287688.0,195572.0,203481.0,926354192.0000001
CH0,CH0,CH0CH0,41286.94273179647,7950377.463921345,8734707.0,359465.0,375485.0,2510359999.999992
CY0,CY0,CY0CY0,9248.869976154157,838283.5171151398,923355.0,96506.0,104288.0,492103635.999999
CZ0,CZ0,CZ0CZ0,78873.27427112708,10436715.738658212,10523357.0,681324.0,705013.0,2774522029.000007
DE1,DE1,DE1DE1,35743.722594630555,10484896.692794517,11001940.0,485073.0,499937.0,3119590998.999999
DE2,DE2,DE2DE2,70542.24365246377,12396082.484759819,12898312.0,770839.0,801337.0,4293554227.000002
DE3,DE3,DE3DE3,891.8006119938522,3282992.3352921065,3550423.0,63557.0,63901.0,884799698.0000037
DE4,DE4,DE4DE4,29652.978805256604,2465200.666430044,2508198.0,298819.0,306571.0,868415619.9999993
DE5,DE5,DE5DE5,401.76922901369363,646540.0726368619,687295.0,24127.0,24452.0,164702837.0000013
DE6,DE6,DE6DE6,742.1456896395069,1699363.6387502868,1794868.0,48672.0,49008.0,418478976.9999984
DE7,DE7,DE7DE7,21113.575541472143,5970766.3621170465,6135825.0,285305.0,291558.0,1780668004.9999988
DE8,DE8,DE8DE8,23061.72745679439,1606089.1001730748,1555112.0,180975.0,186032.0,515054299.00000143
DE9,DE9,DE9DE9,47660.24476492229,7783185.831032262,7862694.0,589620.0,615874.0,2819929229.000001
DEA,DEA,DEADEA,34110.89148879249,17538162.74394101,17747330.0,767471.0,786592.0,5413966415.999997
DEB,DEB,DEBDEB,19854.58448352252,3989901.461491069,4047046.0,236658.0,242974.0,1454290594.9999993
DEC,DEC,DECDEC,2570.9434007683813,1000168.0875621943,1001388.0,55504.0,56591.0,364487248.99999964
DED,DED,DEDDED,18448.259582660918,4056617.3589495784,4007108.0,302776.0,309769.0,1219809686.0000033
DEE,DEE,DEEDEE,20549.897747723942,2287270.238798716,2131781.0,204252.0,210047.0,860539797.9999967
DEF,DEF,DEFDEF,15618.722485564256,2798940.6039679213,2900714.0,207680.0,215918.0,908374155.9999995
DEG,DEG,DEGDEG,16199.267874276917,2188537.1317857397,2098712.0,159430.0,162935.0,690757653.0
DK0,DK0,DK0DK0,43128.28522820699,5514973.56489201,5817704.0,518400.0,542256.0,2226117022.0000014
