code_v2010,code_v2021,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT1,AT1,AT1AT1,23510.2,3863895.1,3609813.8,226709.0,217113.0
AT2,AT2,AT2AT2,25897.9,1805430.1,1764238.1,162524.0,151253.0
AT3,AT3,AT3AT3,34355.1,3183337.4,3021259.9,238807.0,226710.0
BE1,BE1,BE1BE1,162.0,1192480.8,1130133.0,14085.0,14019.0
BE2,BE2,BE2BE2,13583.0,6562868.8,6324033.6,435687.0,421196.0
BE3,BE3,BE3BE3,16901.5,3638043.2,3535685.6,262275.0,251702.0
BG3,BG3,BG3BG3,68282.9,3486018.4,3748920.8,348633.0,339473.0
BG4,BG4,BG4BG4,42665.7,3512491.4,3612010.9,203481.0,195572.0
CH0,CH0,CH0CH0,41285.0,8613172.8,7948861.5,375465.0,359445.0
CY0,CY0,CY0CY0,9248.6,862433.9,838261.6,104270.0,96488.0
CZ0,CZ0,CZ0CZ0,78867.7,10608596.6,10436698.9,705007.0,681319.0
DE1,DE1,DE1DE1,35720.3,11016701.9,10483299.5,499771.0,484919.0
DE2,DE2,DE2DE2,70517.1,12993935.0,12394446.8,801169.0,770681.0
DE3,DE3,DE3DE3,891.7,3611097.4,3282953.1,63895.0,63551.0
DE4,DE4,DE4DE4,29642.0,2507277.4,2465035.9,306471.0,298725.0
DE5,DE5,DE5DE5,401.1,679001.4,645157.4,24416.0,24091.0
DE6,DE6,DE6DE6,737.5,1827417.0,1698477.4,48974.0,48639.0
DE7,DE7,DE7DE7,21104.2,6240469.1,5969845.6,291448.0,285200.0
DE8,DE8,DE8DE8,23049.2,1604465.4,1605283.8,185937.0,180882.0
DE9,DE9,DE9DE9,47622.0,7961465.1,7782707.7,615744.0,589506.0
DEA,DEA,DEADEA,34093.7,17903156.9,17536272.4,786391.0,767259.0
DEB,DEB,DEBDEB,19843.3,4073119.5,3989605.7,242912.0,236601.0
DEC,DEC,DECDEC,2569.8,989536.6,1000074.8,56577.0,55490.0
DED,DED,DEDDED,18443.9,4079210.0,4056319.2,309733.0,302742.0
DEE,DEE,DEEDEE,20542.5,2222817.5,2287159.9,210005.0,204206.0
DEF,DEF,DEFDEF,15608.3,2882824.1,2797959.6,215806.0,207568.0
DEG,DEG,DEGDEG,16191.9,2151669.8,2188503.4,162911.0,159408.0
DK0,DK0,DK0DK0,43103.7,5451219.5,5514260.4,542096.0,518275.0
EE0,EE0,EE0EE0,45286.0,1332272.9,1288699.3,136474.0,131378.0
EL1,EL5,EL1EL5,42420.8,2761840.4,2812771.9,200528.0,186426.0
EL1,EL6,EL1EL6,14027.3,729013.0,744444.6,58134.0,54935.0
EL2,EL5,EL2EL5,9134.3,334772.5,343621.5,32638.0,32363.0
EL2,EL6,EL2EL6,44599.8,1988846.6,2026482.6,191200.0,183974.0
EL3,EL3,EL3EL3,3798.0,3814039.8,3980627.9,92230.0,90479.0
