code_v2013,code_v2016,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT1,AT1,AT1AT1,23574.5,3868781.4,3614408.1,227165.0,217552.0
AT2,AT2,AT2AT2,25955.6,1806447.9,1765286.0,162771.0,151468.0
AT3,AT3,AT3AT3,34413.6,3185399.6,3023295.4,239088.0,226978.0
BE1,BE1,BE1BE1,162.5,1195870.1,1133134.2,14134.0,14068.0
BE2,BE2,BE2BE2,13598.5,6564659.3,6325799.1,435855.0,421356.0
BE3,BE3,BE3BE3,16905.8,3638566.3,3536186.7,262342.0,251762.0
BG3,BG3,BG3BG3,68327.2,3486018.5,3748921.1,348636.0,339474.0
BG4,BG4,BG4BG4,42665.7,3512491.4,3612010.9,203481.0,195572.0
CH0,CH0,CH0CH0,41286.8,8614766.5,7950377.5,375484.0,359464.0
CY0,CY0,CY0CY0,9248.6,862433.9,838261.6,104270.0,96488.0
CZ0,CZ0,CZ0CZ0,78868.4,10608596.6,10436698.9,705008.0,681319.0
DE1,DE1,DE1DE1,35739.1,11018441.8,10484900.9,499906.0,485045.0
DE2,DE2,DE2DE2,70531.7,12994782.2,12395188.0,801267.0,770773.0
DE3,DE3,DE3DE3,891.8,3611161.8,3283012.2,63898.0,63554.0
DE4,DE4,DE4DE4,29650.0,2507453.9,2465150.1,306537.0,298786.0
DE5,DE5,DE5DE5,401.2,679008.4,645164.2,24418.0,24094.0
DE6,DE6,DE6DE6,738.6,1827377.3,1698441.0,48977.0,48642.0
DE7,DE7,DE7DE7,21110.7,6242565.2,5971152.3,291528.0,285275.0
DE8,DE8,DE8DE8,23059.5,1604958.7,1605812.2,185998.0,180942.0
DE9,DE9,DE9DE9,47648.6,7962041.6,7783243.6,615832.0,589582.0
DEA,DEA,DEADEA,34104.9,17904128.7,17537204.9,786483.0,767367.0
DEB,DEB,DEBDEB,19851.7,4073395.2,3989847.5,242953.0,236640.0
DEC,DEC,DECDEC,2570.7,989610.3,1000150.5,56586.0,55500.0
DED,DED,DEDDED,18447.4,4079485.2,4056588.3,309760.0,302767.0
DEE,DEE,DEEDEE,20548.9,2222851.9,2287188.0,210038.0,204236.0
DEF,DEF,DEFDEF,15611.4,2883147.4,2798267.8,215862.0,207622.0
DEG,DEG,DEGDEG,16199.0,2151710.7,2188545.5,162942.0,159436.0
DK0,DK0,DK0DK0,43122.3,5451719.0,5514920.6,542237.0,518389.0
EE0,EE0,EE0EE0,45291.2,1332300.1,1288721.1,136491.0,131393.0
EL3,EL3,EL3EL3,3795.4,3799010.1,3967895.4,91948.0,90203.0
EL3,EL6,EL3EL6,2.1,44.4,0.0,127.0,116.0
EL4,EL4,EL4EL4,17452.4,1114418.7,1145322.4,82517.0,79815.0
EL5,EL5,EL5EL5,51562.6,3099743.1,3159793.3,233446.0,219064.0
EL6,EL6,EL6EL6,58643.3,2719328.0,2772552.0,249441.0,239016.0
ELZ,ELZ,ELZELZ,335.8,1703.7,1672.8,272.0,906.0
ES1,ES1,ES1ES1,45492.2,4276126.4,4405780.6,259981.0,253976.0
ES2,ES2,ES2ES2,70384.1,4464305.2,4472720.4,196406.0,186030.0
ES3,ES3,ES3ES3,8031.1,6578330.5,6420651.0,136128.0,133295.0
ES4,ES4,ES4ES4,215312.2,5508581.6,5734726.4,458130.0,439316.0
ES5,ES5,ES5ES5,60344.2,13653059.8,13593411.7,465006.0,444912.0
ES6,ES6,ES6ES6,98943.5,9995459.8,9985993.0,423459.0,403669.0
ES7,ES7,ES7ES7,7446.4,2109626.3,2073661.5,76136.0,75607.0
FI1,FI1,FI1FI1,335908.5,5366201.6,5267542.5,764416.0,715471.0
FI2,FI2,FI2FI2,1303.0,28380.2,27128.2,6335.0,5943.0
FR1,FR1,FR1FR1,12069.2,12117170.4,11785966.1,307133.0,301509.0
FR2,FRF,FR2FRF,25725.8,1332935.1,1335577.2,144961.0,138844.0
FR2,FRE,FR2FRE,19492.4,1932288.7,1915557.0,175680.0,169205.0
FR2,FRD,FR2FRD,30067.8,3331331.1,3305702.4,319438.0,305271.0
FR2,FRB,FR2FRB,39529.7,2578023.7,2547773.5,281056.0,267001.0
FR2,FRC,FR2FRC,31753.2,1637755.8,1641036.2,188893.0,181968.0
FR3,FRE,FR3FRE,12436.9,4065271.5,4031603.7,238209.0,230085.0
FR4,FRF,FR4FRF,31997.4,4227655.8,4200629.2,303288.0,295024.0
FR4,FRC,FR4FRC,16307.0,1180008.7,1171404.0,123889.0,118639.0
FR5,FRG,FR5FRG,32337.8,3735396.3,3569693.2,380385.0,363702.0
FR5,FRH,FR5FRH,27386.1,3293231.8,3185612.8,354793.0,341985.0
FR5,FRI,FR5FRI,25927.7,1804344.7,1768138.5,227307.0,217973.0
FR6,FRI,FR6FRI,58776.0,4127399.6,3976170.5,432048.0,410716.0
FR6,FRJ,FR6FRJ,45602.8,3015130.0,2881699.9,282315.0,268810.0
FR7,FRK,FR7FRK,70899.7,7917942.7,7580142.9,607888.0,583194.0
FR8,FRJ,FR8FRJ,27642.1,2790031.7,2632429.5,201452.0,190736.0
FR8,FRL,FR8FRL,31671.9,4993302.9,4886785.5,320965.0,308527.0
FR8,FRM,FR8FRM,8720.2,325861.0,306006.0,38160.0,36230.0
FRA,FRY,FRAFRY,89403.2,89403.2,89403.2,89403.17731198664,89403.17731198664
HR0,HR0,HR0HR0,56261.1,4063589.7,4251511.4,301204.0,290346.0
HU1,HU1,HU1HU1,6916.0,3011109.0,2946229.9,128208.0,125359.0
HU2,HU2,HU2HU2,36611.8,2927710.1,3003264.7,268253.0,260738.0
HU3,HU3,HU3HU3,49484.9,3839140.9,3987702.1,328469.0,315895.0
IE0,IE0,IE0IE0,69889.6,4751135.7,4564624.1,419143.0,399952.0
IS0,IS0,IS0IS0,102652.4,345165.4,314524.7,64485.0,62829.0
ITC,ITC,ITCITC,57955.7,16068088.8,15740585.4,679123.0,643033.0
ITF,ITF,ITFITF,73261.1,13972939.7,13927913.4,552573.0,524507.0
ITG,ITG,ITGITG,49818.1,6652839.8,6619400.9,313134.0,298630.0
ITH,ITH,ITHITH,61508.3,11608234.4,11418957.5,640513.0,612342.0
ITI,ITI,ITIITI,58021.7,12026482.1,11578160.7,504071.0,485666.0
LI0,LI0,LI0LI0,159.9,38083.6,36145.7,2197.0,2107.0
LT0,LT0,LT0LT0,64890.2,2807450.8,3027298.2,273754.0,256086.0
LU0,LU0,LU0LU0,2595.3,602645.4,511196.6,33555.0,31985.0
LV0,LV0,LV0LV0,64586.0,1927317.3,2079529.3,167665.0,161091.0
MT0,MT0,MT0MT0,315.3,467596.2,411392.1,10863.0,10644.0
