code_v2013,code_v2021,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT11,AT11,AT11AT11,3965.4,294316.6,285557.2,32956.0,31396.0
AT12,AT12,AT12AT12,19195.3,1684164.7,1619305.9,167780.0,159873.0
AT13,AT13,AT13AT13,413.5,1890300.2,1709545.0,26426.0,26280.0
AT21,AT21,AT21AT21,9542.5,561254.4,556323.0,54740.0,50454.0
AT22,AT22,AT22AT22,16413.0,1245193.4,1208962.9,108031.0,101014.0
AT31,AT31,AT31AT31,11984.9,1482849.7,1414265.9,121174.0,115144.0
AT32,AT32,AT32AT32,7158.9,552344.2,529055.5,41222.0,38677.0
AT33,AT33,AT33AT33,12649.1,755370.1,709565.2,54687.0,52626.0
AT34,AT34,AT34AT34,2620.4,394834.1,370407.5,22005.0,20531.0
BE10,BE10,BE10BE10,162.1,1192529.3,1130176.1,14098.0,14032.0
BE21,BE21,BE21BE21,2869.8,1849100.9,1772402.5,109611.0,107361.0
BE22,BE22,BE22BE22,2427.9,873545.3,847345.4,70782.0,68796.0
BE23,BE23,BE23BE23,3005.3,1505480.8,1447180.7,97465.0,93737.0
BE24,BE24,BE24BE24,2118.2,1142059.4,1090376.1,71291.0,69492.0
BE25,BE25,BE25BE25,3168.0,1193617.5,1167670.7,86645.0,81921.0
BE31,BE31,BE31BE31,1097.2,401373.7,383019.3,29719.0,28820.0
BE32,BE32,BE32BE32,3813.6,1348129.0,1321640.0,85468.0,82417.0
BE33,BE33,BE33BE33,3857.3,1108789.0,1080806.5,69784.0,67109.0
BE34,BE34,BE34BE34,4460.0,284935.4,272735.0,32849.0,30923.0
BE35,BE35,BE35BE35,3675.8,495194.4,477855.7,44503.0,42479.0
BG31,BG31,BG31BG31,19062.0,742511.1,847115.9,85690.0,83694.0
BG32,BG32,BG32BG32,14817.4,786061.4,860713.2,77252.0,75089.0
BG33,BG33,BG33BG33,14646.7,928359.4,965492.9,80827.0,79305.0
BG34,BG34,BG34BG34,19801.1,1029086.6,1075599.1,104867.0,101386.0
BG41,BG41,BG41BG41,20300.4,2102196.3,2132782.9,106569.0,102543.0
BG42,BG42,BG42BG42,22365.2,1410295.1,1479228.0,96912.0,93029.0
CH01,CH01,CH01CH01,8716.9,1653104.9,1501544.1,69770.0,66028.0
CH02,CH02,CH02CH02,10059.2,1900975.8,1772100.3,96760.0,92709.0
CH03,CH03,CH03CH03,1958.4,1163350.0,1073705.5,43086.0,42344.0
CH04,CH04,CH04CH04,1728.3,1524959.8,1391946.0,42954.0,42410.0
CH05,CH05,CH05CH05,11528.4,1193756.2,1115309.0,69125.0,64752.0
CH06,CH06,CH06CH06,4482.5,821215.7,758166.7,34926.0,33263.0
CH07,CH07,CH07CH07,2811.9,357399.1,337601.6,18862.0,17957.0
CY00,CY00,CY00CY00,9248.6,862433.9,838261.6,104270.0,96488.0
CZ01,CZ01,CZ01CZ01,496.4,1294596.5,1268339.4,29435.0,29069.0
CZ02,CZ02,CZ02CZ02,10929.1,1352701.1,1289573.1,115711.0,111238.0
CZ02,CZ03,CZ02CZ03,87.9,105.4,123.5,17.0,15.0
CZ03,CZ03,CZ03CZ03,17619.3,1220566.1,1198845.1,104086.0,100862.0
CZ04,CZ04,CZ04CZ04,8649.2,1115065.0,1104358.6,81028.0,79142.0
CZ05,CZ05,CZ05CZ05,12442.3,1510472.2,1492168.6,111173.0,106975.0
CZ06,CZ06,CZ06CZ06,13983.4,1692268.9,1669123.9,113009.0,109447.0
CZ06,CZ07,CZ06CZ07,6.2,0.5,5.6,0.0,0.0
CZ07,CZ07,CZ07CZ07,9226.4,1216249.6,1208601.9,80295.0,77205.0
CZ08,CZ08,CZ08CZ08,5428.0,1206571.2,1205559.1,70253.0,67366.0
DE11,DE11,DE11DE11,10550.3,4126007.9,3914188.3,167309.0,162703.0
DE12,DE12,DE12DE12,6910.4,2795348.3,2664615.8,113689.0,111092.0
DE13,DE13,DE13DE13,9349.8,2251826.7,2144319.9,113291.0,109694.0
DE14,DE14,DE14DE14,8912.8,1844031.6,1760673.4,105504.0,101452.0
DE21,DE21,DE21DE21,17526.2,4648430.0,4327384.7,224007.0,216242.0
DE22,DE22,DE22DE22,10320.5,1229217.9,1172377.7,109998.0,104965.0
DE23,DE23,DE23DE23,9686.9,1104515.7,1070888.5,91529.0,86559.0
DE24,DE24,DE24DE24,7228.9,1066945.9,1063930.3,77492.0,74135.0
DE25,DE25,DE25DE25,7242.5,1759498.1,1681779.0,92139.0,89354.0
DE26,DE26,DE26DE26,8525.8,1313501.8,1300900.5,90966.0,88596.0
DE27,DE27,DE27DE27,9988.6,1872309.2,1777607.6,115065.0,110853.0
DE30,DE30,DE30DE30,891.7,3611132.2,3282985.1,63897.0,63553.0
DE40,DE40,DE40DE40,29643.1,2507316.8,2465073.3,306487.0,298741.0
DE50,DE50,DE50DE50,401.1,679001.4,645157.4,24417.0,24092.0
DE60,DE60,DE60DE60,737.6,1827462.2,1698520.9,48977.0,48642.0
DE71,DE71,DE71DE71,7438.7,3975770.0,3739416.3,141633.0,139159.0
DE72,DE72,DE72DE72,5378.4,1045940.9,1025335.1,62053.0,60672.0
DE73,DE73,DE73DE73,8287.4,1219068.7,1205138.5,87764.0,85372.0
DE80,DE80,DE80DE80,23050.1,1604840.5,1605694.2,185958.0,180903.0
DE91,DE91,DE91DE91,8114.2,1595710.3,1577856.8,103728.0,101290.0
DE92,DE92,DE92DE92,9060.0,2143500.6,2095326.5,129526.0,125240.0
DE93,DE93,DE93DE93,15472.0,1707167.3,1672725.6,166827.0,159746.0
DE94,DE94,DE94DE94,14978.7,2515217.4,2436922.3,215674.0,203241.0
DEA1,DEA1,DEA1DEA1,5289.2,5196917.1,5077407.3,188205.0,184728.0
DEA2,DEA2,DEA2DEA2,7356.7,4448519.4,4284367.8,183957.0,179432.0
DEA3,DEA3,DEA3DEA3,6917.2,2620215.5,2571207.7,134761.0,130143.0
DEA4,DEA4,DEA4DEA4,6523.6,2054071.7,2028616.3,118925.0,115293.0
DEA5,DEA5,DEA5DEA5,8010.1,3583660.8,3574889.9,160574.0,157690.0
DEB1,DEB1,DEB1DEB1,8072.2,1492766.6,1482926.8,97105.0,94633.0
DEB2,DEB2,DEB2DEB2,4926.4,529612.6,518335.3,46230.0,44635.0
DEB3,DEB3,DEB3DEB3,6844.8,2050740.3,1988343.6,99578.0,97333.0
DEC0,DEC0,DEC0DEC0,2569.8,989536.6,1000074.8,56577.0,55490.0
DED2,DED2,DED2DED2,7945.0,1598322.2,1591294.9,135189.0,131531.0
DED4,DED4,DED4DED4,6522.6,1445684.1,1498791.1,106524.0,104388.0
DED5,DED5,DED5DED5,3976.8,1035251.8,966281.8,68024.0,66826.0
DEE0,DEE0,DEE0DEE0,20543.2,2222818.0,2287160.3,210019.0,204218.0
DEF0,DEF0,DEF0DEF0,15606.9,2882838.5,2797972.1,215811.0,207574.0
DEG0,DEG0,DEG0DEG0,16192.1,2151669.8,2188503.4,162911.0,159408.0
DK01,DK01,DK01DK01,2574.5,1530884.1,1676327.1,81032.0,79640.0
DK02,DK02,DK02DK02,7311.4,824596.2,814646.7,97449.0,93621.0
