code_v2006,code_v2013,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT11,AT11,AT11AT11,3947.1,293920.9,285143.5,32812.0,31265.0
AT12,AT12,AT12AT12,19134.8,1680803.9,1616090.2,167443.0,159548.0
AT12,AT11,AT12AT11,1.1,5.2,0.0,54.0,54.0
AT13,AT13,AT13AT13,410.9,1889488.9,1708830.7,26361.0,26214.0
AT21,AT21,AT21AT21,9509.7,560815.5,555864.9,54606.0,50328.0
AT21,AT22,AT21AT22,1.0,0.0,0.0,11.0,3.0
AT22,AT22,AT22AT22,16365.8,1244304.9,1208079.2,107829.0,100847.0
AT31,AT31,AT31AT31,11952.7,1481664.1,1413088.3,120991.0,114977.0
AT32,AT32,AT32AT32,7143.6,552142.7,528863.0,41189.0,38646.0
AT33,AT33,AT33AT33,12617.4,755153.2,709343.3,54655.0,52594.0
AT34,AT34,AT34AT34,2592.7,393576.3,369200.3,21884.0,20418.0
BE10,BE10,BE10BE10,162.4,1195821.7,1133091.1,14121.0,14055.0
BE21,BE21,BE21BE21,2872.9,1848423.5,1771817.0,109569.0,107320.0
BE22,BE22,BE22BE22,2425.7,873457.3,847261.9,70744.0,68757.0
BE23,BE23,BE23BE23,3005.6,1505278.9,1446966.4,97446.0,93718.0
BE24,BE24,BE24BE24,2117.3,1142198.6,1090582.5,71273.0,69475.0
BE25,BE25,BE25BE25,3165.1,1193195.0,1167241.2,86587.0,81884.0
BE31,BE31,BE31BE31,1096.6,401291.8,382941.6,29700.0,28802.0
BE32,BE32,BE32BE32,3810.0,1347453.7,1320934.7,85416.0,82363.0
BE33,BE33,BE33BE33,3856.4,1108410.4,1080445.4,69753.0,67081.0
BE34,BE34,BE34BE34,4458.0,284882.9,272677.2,32844.0,30917.0
BE35,BE35,BE35BE35,3674.2,495170.3,477837.0,44499.0,42476.0
BG31,BG31,BG31BG31,19016.6,742393.3,846943.4,85684.0,83689.0
BG32,BG32,BG32BG32,14791.8,786013.6,860653.7,77248.0,75086.0
BG33,BG33,BG33BG33,14646.7,928359.4,965492.9,80827.0,79305.0
BG34,BG34,BG34BG34,19801.0,1029083.6,1075596.8,104866.0,101385.0
BG41,BG41,BG41BG41,20287.7,2102193.1,2132755.4,106567.0,102542.0
BG42,BG42,BG42BG42,22353.7,1410291.1,1479219.8,96910.0,93028.0
CH01,CH01,CH01CH01,8281.6,1648370.5,1497295.4,69676.0,65941.0
CH02,CH02,CH02CH02,9782.2,1898551.3,1769919.2,96671.0,92624.0
CH03,CH03,CH03CH03,1948.6,1161401.3,1071844.1,43050.0,42308.0
CH04,CH04,CH04CH04,1663.4,1523289.9,1390603.7,42935.0,42392.0
CH05,CH05,CH05CH05,11309.3,1191501.9,1113269.4,69048.0,64678.0
CH06,CH06,CH06CH06,4274.3,817488.7,755171.5,34842.0,33182.0
CH07,CH07,CH07CH07,2744.2,356186.0,336510.8,18823.0,17922.0
CY00,CY00,CY00CY00,9228.9,861609.6,837209.5,103777.0,96010.0
CZ01,CZ01,CZ01CZ01,496.1,1294564.4,1268304.5,29427.0,29061.0
CZ02,CZ02,CZ02CZ02,11015.4,1352736.0,1289626.0,115689.0,111215.0
CZ03,CZ03,CZ03CZ03,17612.6,1220525.5,1198802.2,104069.0,100846.0
CZ04,CZ04,CZ04CZ04,8647.7,1115053.1,1104350.7,81020.0,79133.0
CZ05,CZ05,CZ05CZ05,12439.9,1510439.9,1492137.5,111160.0,106962.0
CZ06,CZ06,CZ06CZ06,13984.8,1692260.1,1669120.3,113001.0,109435.0
CZ07,CZ07,CZ07CZ07,9226.6,1216236.2,1208588.3,80288.0,77197.0
CZ08,CZ08,CZ08CZ08,5426.9,1206561.6,1205545.1,70245.0,67359.0
DE11,DE11,DE11DE11,10516.5,4122881.1,3911310.5,167139.0,162541.0
DE12,DE12,DE12DE12,6908.5,2793719.6,2663162.8,113699.0,111101.0
DE13,DE13,DE13DE13,9350.8,2251785.7,2144199.2,113277.0,109679.0
DE14,DE14,DE14DE14,8911.8,1844053.4,1760652.5,105477.0,101423.0
DE21,DE21,DE21DE21,17267.5,4642092.3,4321325.0,223471.0,215725.0
DE22,DE22,DE22DE22,10310.9,1229022.3,1172223.5,109946.0,104922.0
DE23,DE23,DE23DE23,9659.0,1103086.6,1069554.7,91392.0,86425.0
DE24,DE24,DE24DE24,7193.9,1066344.7,1063384.5,77403.0,74050.0
DE25,DE25,DE25DE25,7210.8,1757555.5,1679894.7,91943.0,89166.0
DE26,DE26,DE26DE26,8488.3,1313311.7,1300711.9,90858.0,88492.0
DE27,DE27,DE27DE27,9946.8,1868940.9,1774625.4,114826.0,110624.0
DE30,DE30,DE30DE30,890.8,3610446.4,3282366.9,63863.0,63518.0
DE41,DE40,DE41DE40,15563.9,1119691.7,1106734.8,129635.0,126776.0
DE42,DE40,DE42DE40,14028.6,1385968.8,1356770.3,176559.0,171689.0
DE50,DE50,DE50DE50,384.8,678760.4,644923.5,24266.0,23897.0
DE60,DE60,DE60DE60,736.9,1826523.1,1697643.5,48933.0,48596.0
DE71,DE71,DE71DE71,7410.6,3975558.0,3739088.3,141534.0,139058.0
DE72,DE72,DE72DE72,5358.5,1045877.7,1025272.6,62012.0,60633.0
DE73,DE73,DE73DE73,8263.5,1218234.7,1204380.4,87701.0,85307.0
DE80,DE80,DE80DE80,23009.6,1603148.4,1603972.0,185610.0,180563.0
DE91,DE91,DE91DE91,8095.4,1595387.8,1577562.3,103659.0,101226.0
DE92,DE92,DE92DE92,9054.0,2143614.4,2095435.1,129492.0,125208.0
DE93,DE93,DE93DE93,15431.4,1707880.9,1673404.4,166656.0,159580.0
DE93,DE50,DE93DE50,14.4,4.2,0.2,11.0,59.0
DE94,DE94,DE94DE94,14955.6,2514793.3,2436509.3,215260.0,202834.0
DEA1,DEA1,DEA1DEA1,5282.2,5194794.4,5075322.8,188083.0,184608.0
DEA2,DEA2,DEA2DEA2,7346.3,4447186.1,4283134.5,183797.0,179303.0
DEA3,DEA3,DEA3DEA3,6906.2,2619219.3,2570307.1,134685.0,130077.0
DEA4,DEA4,DEA4DEA4,6515.8,2054034.7,2028583.3,118882.0,115253.0
DEA5,DEA5,DEA5DEA5,8001.7,3582655.4,3573904.6,160461.0,157592.0
DEB1,DEB1,DEB1DEB1,8035.7,1491178.3,1481452.3,96869.0,94407.0
DEB2,DEB2,DEB2DEB2,4908.8,529144.5,517875.2,46190.0,44597.0
DEB3,DEB3,DEB3DEB3,6796.8,2049435.6,1987261.6,99228.0,96992.0
DEC0,DEC0,DEC0DEC0,2556.2,989020.8,999571.7,56474.0,55387.0
DED1,DED4,DED1DED4,6080.2,1381543.2,1431523.2,100646.0,98646.0
DED2,DED2,DED2DED2,7928.0,1597093.2,1590109.5,135034.0,131377.0
DED3,DED5,DED3DED5,3964.9,1035124.7,966152.8,67980.0,66786.0
DED3,DED4,DED3DED4,422.8,63375.8,66470.5,5706.0,5574.0
DEE0,DEE0,DEE0DEE0,20508.2,2222660.5,2287021.1,209867.0,204081.0
DEF0,DEF0,DEF0DEF0,15572.4,2879508.5,2795748.9,215539.0,207340.0
DEG0,DEG0,DEG0DEG0,16117.3,2151357.7,2188184.7,162700.0,159194.0
DK01,DK01,DK01DK01,2514.0,1525851.8,1671089.5,80458.0,79077.0
DK02,DK02,DK02DK02,7216.8,822001.8,812334.5,97042.0,93224.0
DK03,DK03,DK03DK03,12102.2,1207389.4,1192253.4,140924.0,132756.0
DK04,DK04,DK04DK04,13048.0,1300654.1,1252849.9,141075.0,133618.0
DK05,DK05,DK05DK05,7885.0,583380.2,574993.7,80703.0,77727.0
EE00,EE00,EE00EE00,43422.0,1332109.6,1288210.2,136304.0,131216.0
ES11,ES11,ES11ES11,29564.4,2674478.2,2745687.4,185359.0,180847.0
ES12,ES12,ES12ES12,10600.9,1025913.7,1072591.5,45736.0,45564.0
ES13,ES13,ES13ES13,5319.8,575687.2,587452.4,28859.0,27538.0
ES21,ES21,ES21ES21,7228.3,2192623.8,2175452.7,56708.0,54341.0
ES21,ES13,ES21ES13,4.9,6.5,7.5,4.0,4.0
ES22,ES22,ES22ES22,10390.4,647609.8,638483.7,32695.0,32006.0
ES23,ES23,ES23ES23,5044.8,315280.2,320762.0,17033.0,17062.0
ES24,ES24,ES24ES24,47720.9,1308791.0,1338019.3,89969.0,82621.0
ES30,ES30,ES30ES30,8014.6,6577909.3,6420262.8,136080.0,133248.0
ES41,ES41,ES41ES41,94217.8,2409112.1,2528427.1,219918.0,208090.0
ES42,ES42,ES42ES42,79449.0,2026360.5,2102720.3,163686.0,160002.0
ES43,ES43,ES43ES43,41634.3,1072866.1,1103357.7,74478.0,71176.0
ES51,ES51,ES51ES51,32102.5,7587246.4,7499803.8,222624.0,211554.0
ES52,ES52,ES52ES52,23254.5,4951838.9,5005524.3,184811.0,178286.0
ES53,ES53,ES53ES53,4986.5,1113981.5,1088050.0,57567.0,55066.0
ES61,ES61,ES61ES61,87598.8,8356947.7,8362144.9,350015.0,332863.0
ES62,ES62,ES62ES62,11311.0,1476102.4,1463039.2,71440.0,68829.0
ES63,ES63,ES63ES63,18.3,78685.4,78762.5,896.0,876.0
ES64,ES64,ES64ES64,12.7,81006.1,79152.7,988.0,985.0
