code_v2016,code_v2021,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT1,AT1,AT1AT1,23574.6,3868792.6,3614418.8,227166.0,217553.0
AT2,AT2,AT2AT2,25955.6,1806447.9,1765286.0,162771.0,151468.0
AT3,AT3,AT3AT3,34413.3,3185398.1,3023294.1,239088.0,226978.0
BE1,BE1,BE1BE1,162.1,1192529.3,1130176.1,14098.0,14032.0
BE2,BE2,BE2BE2,13589.3,6563803.9,6324975.3,435794.0,421307.0
BE3,BE3,BE3BE3,16903.7,3638421.5,3536056.5,262323.0,251748.0
BG3,BG3,BG3BG3,68327.2,3486018.5,3748921.1,348636.0,339474.0
BG4,BG4,BG4BG4,42665.7,3512491.4,3612010.9,203481.0,195572.0
CH0,CH0,CH0CH0,41285.8,8614762.6,7950373.1,375484.0,359464.0
CY0,CY0,CY0CY0,9248.9,862548.8,838283.5,104288.0,96506.0
CZ0,CZ0,CZ0CZ0,78873.5,10608612.6,10436720.7,705017.0,681329.0
DE1,DE1,DE1DE1,35728.7,11017323.4,10483902.8,499840.0,484982.0
DE2,DE2,DE2DE2,70530.7,12995362.9,12395766.0,801284.0,770791.0
DE3,DE3,DE3DE3,891.8,3611134.4,3282987.2,63900.0,63556.0
DE4,DE4,DE4DE4,29647.0,2507430.4,2465176.8,306523.0,298776.0
DE5,DE5,DE5DE5,401.6,680349.0,646474.9,24445.0,24120.0
DE6,DE6,DE6DE6,737.6,1827354.2,1698418.9,48976.0,48641.0
DE7,DE7,DE7DE7,21107.5,6240976.4,5970051.7,291493.0,285246.0
DE8,DE8,DE8DE8,23052.4,1605172.7,1605959.2,185983.0,180927.0
DE9,DE9,DE9DE9,47628.9,7961796.8,7783010.3,615816.0,589567.0
DEA,DEA,DEADEA,34104.5,17904321.8,17537395.5,786536.0,767393.0
DEB,DEB,DEBDEB,19846.6,4073266.9,3989750.6,242935.0,236621.0
DEC,DEC,DECDEC,2570.0,989580.9,1000119.8,56583.0,55495.0
DED,DED,DEDDED,18445.5,4079289.6,4056395.0,309748.0,302756.0
DEE,DEE,DEEDEE,20545.2,2222909.5,2287260.1,210045.0,204245.0
DEF,DEF,DEFDEF,15611.2,2883529.6,2798627.7,215870.0,207632.0
DEG,DEG,DEGDEG,16193.6,2151672.3,2188505.9,162914.0,159412.0
DK0,DK0,DK0DK0,43128.7,5451927.9,5515192.9,542279.0,518426.0
EE0,EE0,EE0EE0,45312.7,1332552.0,1288872.0,136568.0,131474.0
EL3,EL3,EL3EL3,3803.9,3814062.4,3980636.1,92254.0,90498.0
EL4,EL4,EL4EL4,17458.1,1114421.1,1145322.4,82522.0,79820.0
EL5,EL5,EL5EL5,51623.9,3100080.5,3160012.6,233517.0,219132.0
EL6,EL6,EL6EL6,58705.0,2719600.4,2772630.8,249684.0,239237.0
ES1,ES1,ES1ES1,45488.7,4276115.6,4405770.4,259977.0,253972.0
ES2,ES2,ES2ES2,70376.7,4464294.1,4472710.0,196392.0,186024.0
ES3,ES3,ES3ES3,8030.6,6578328.8,6420649.3,136128.0,133295.0
ES4,ES4,ES4ES4,215298.3,5508578.6,5734724.4,458116.0,439302.0
ES5,ES5,ES5ES5,60339.7,13652972.4,13593268.2,464977.0,444887.0
ES6,ES6,ES6ES6,98941.4,9995459.6,9985993.0,423459.0,403669.0
ES7,ES7,ES7ES7,7446.4,2109626.3,2073661.5,76136.0,75607.0
FI1,FI1,FI1FI1,335908.5,5366201.6,5267542.5,764416.0,715471.0
FI2,FI2,FI2FI2,1303.0,28380.2,27128.2,6335.0,5943.0
FR1,FR1,FR1FR1,12069.3,12117210.2,11786003.1,307135.0,301511.0
FRB,FRB,FRBFRB,39529.7,2578023.7,2547773.5,281056.0,267001.0
FRC,FRC,FRCFRC,48060.2,2817766.7,2812442.5,312783.0,300608.0
FRD,FRD,FRDFRD,30073.6,3332057.2,3306394.4,319563.0,305394.0
FRE,FRE,FREFRE,31932.9,5997920.8,5947488.8,413937.0,399341.0
FRF,FRF,FRFFRF,57724.0,5560593.2,5536207.5,448253.0,433872.0
FRG,FRG,FRGFRG,32344.5,3735726.5,3570029.6,380523.0,363834.0
