code_v2013,code_v2021,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT1,AT1,AT1AT1,23574.2,3868781.4,3614408.1,227162.0,217549.0
AT2,AT2,AT2AT2,25955.5,1806447.9,1765286.0,162771.0,151468.0
AT3,AT3,AT3AT3,34413.3,3185398.1,3023294.1,239088.0,226978.0
BE1,BE1,BE1BE1,162.1,1192529.3,1130176.1,14098.0,14032.0
BE2,BE2,BE2BE2,13589.3,6563803.9,6324975.3,435794.0,421307.0
BE3,BE3,BE3BE3,16903.7,3638421.5,3536056.5,262323.0,251748.0
BG3,BG3,BG3BG3,68327.2,3486018.5,3748921.1,348636.0,339474.0
BG4,BG4,BG4BG4,42665.7,3512491.4,3612010.9,203481.0,195572.0
CH0,CH0,CH0CH0,41285.6,8614761.4,7950373.1,375483.0,359463.0
CY0,CY0,CY0CY0,9248.6,862433.9,838261.6,104270.0,96488.0
CZ0,CZ0,CZ0CZ0,78868.0,10608596.6,10436698.9,705007.0,681319.0
DE1,DE1,DE1DE1,35723.3,11017214.5,10483797.5,499793.0,484941.0
DE2,DE2,DE2DE2,70519.4,12994418.6,12394868.3,801196.0,770704.0
DE3,DE3,DE3DE3,891.7,3611132.2,3282985.1,63897.0,63553.0
DE4,DE4,DE4DE4,29643.1,2507316.8,2465073.3,306487.0,298741.0
DE5,DE5,DE5DE5,401.1,679001.4,645157.4,24417.0,24092.0
DE6,DE6,DE6DE6,737.6,1827462.2,1698520.9,48977.0,48642.0
DE7,DE7,DE7DE7,21104.5,6240779.6,5969889.9,291450.0,285203.0
DE8,DE8,DE8DE8,23050.1,1604840.5,1605694.2,185958.0,180903.0
DE9,DE9,DE9DE9,47624.7,7961595.6,7782831.2,615755.0,589517.0
DEA,DEA,DEADEA,34096.9,17903384.5,17536489.0,786422.0,767286.0
DEB,DEB,DEBDEB,19843.4,4073119.5,3989605.7,242913.0,236601.0
DEC,DEC,DECDEC,2569.8,989536.6,1000074.8,56577.0,55490.0
DED,DED,DEDDED,18444.3,4079258.1,4056367.7,309737.0,302745.0
DEE,DEE,DEEDEE,20543.2,2222818.0,2287160.3,210019.0,204218.0
