code_v2006,code_v2016,uniqueID,areaKm,pop18,pop11,artif_surf18,artif_surf12
AT11,AT11,AT11AT11,3947.1,293912.1,285135.1,32810.0,31263.0
AT12,AT12,AT12AT12,19134.8,1680805.9,1616092.0,167444.0,159549.0
AT12,AT11,AT12AT11,1.1,5.2,0.0,54.0,54.0
AT13,AT13,AT13AT13,410.9,1889488.9,1708830.7,26361.0,26214.0
AT21,AT21,AT21AT21,9509.7,560815.5,555864.9,54606.0,50328.0
AT21,AT22,AT21AT22,1.0,0.0,0.0,11.0,3.0
AT22,AT22,AT22AT22,16365.8,1244304.9,1208079.2,107829.0,100847.0
AT31,AT31,AT31AT31,11952.7,1481664.1,1413088.3,120991.0,114977.0
AT32,AT32,AT32AT32,7143.6,552142.7,528863.0,41189.0,38646.0
AT33,AT33,AT33AT33,12617.4,755153.2,709343.3,54655.0,52594.0
AT34,AT34,AT34AT34,2592.7,393576.3,369200.3,21884.0,20418.0
BE10,BE10,BE10BE10,162.4,1195821.7,1133091.1,14121.0,14055.0
BE21,BE21,BE21BE21,2872.9,1848423.5,1771817.0,109569.0,107320.0
BE22,BE22,BE22BE22,2425.7,873457.3,847261.9,70744.0,68757.0
BE23,BE23,BE23BE23,3005.6,1505278.9,1446966.4,97446.0,93718.0
BE24,BE24,BE24BE24,2117.3,1142198.6,1090582.5,71273.0,69475.0
BE25,BE25,BE25BE25,3165.1,1193195.0,1167241.2,86587.0,81884.0
BE31,BE31,BE31BE31,1096.6,401291.8,382941.6,29700.0,28802.0
BE32,BE32,BE32BE32,3810.0,1347453.7,1320934.7,85416.0,82363.0
BE33,BE33,BE33BE33,3856.4,1108410.4,1080445.4,69753.0,67081.0
BE34,BE34,BE34BE34,4458.0,284882.9,272677.2,32844.0,30917.0
BE35,BE35,BE35BE35,3674.2,495170.3,477837.0,44499.0,42476.0
BG31,BG31,BG31BG31,19016.6,742393.3,846943.4,85684.0,83689.0
BG32,BG32,BG32BG32,14791.8,786013.6,860653.7,77248.0,75086.0
BG33,BG33,BG33BG33,14646.7,928359.4,965492.9,80827.0,79305.0
BG34,BG34,BG34BG34,19801.0,1029083.6,1075596.8,104866.0,101385.0
BG41,BG41,BG41BG41,20287.7,2102193.1,2132755.4,106567.0,102542.0
BG42,BG42,BG42BG42,22353.7,1410291.1,1479219.8,96910.0,93028.0
CH01,CH01,CH01CH01,8281.5,1648369.2,1497295.4,69675.0,65940.0
CH02,CH02,CH02CH02,9782.2,1898551.3,1769919.2,96671.0,92624.0
CH03,CH03,CH03CH03,1948.6,1161401.3,1071844.1,43050.0,42308.0
CH04,CH04,CH04CH04,1663.4,1523289.9,1390603.7,42935.0,42392.0
CH05,CH05,CH05CH05,11309.2,1191501.9,1113269.4,69048.0,64678.0
CH06,CH06,CH06CH06,4274.3,817488.7,755171.5,34842.0,33182.0
CH07,CH07,CH07CH07,2744.1,356186.0,336510.8,18823.0,17922.0
CY00,CY00,CY00CY00,9229.1,861661.0,837170.2,103780.0,96013.0
CZ01,CZ01,CZ01CZ01,496.1,1294562.7,1268303.0,29424.0,29058.0
CZ02,CZ02,CZ02CZ02,10927.3,1352631.7,1289503.4,115675.0,111202.0
CZ02,CZ03,CZ02CZ03,87.9,105.9,124.1,12.0,10.0
CZ03,CZ03,CZ03CZ03,17612.5,1220526.5,1198803.1,104074.0,100851.0
CZ04,CZ04,CZ04CZ04,8647.1,1115048.6,1104339.8,81016.0,79130.0
CZ05,CZ05,CZ05CZ05,12439.8,1510437.1,1492135.1,111160.0,106962.0
CZ06,CZ06,CZ06CZ06,13977.4,1692252.4,1669107.6,113000.0,109434.0
CZ06,CZ07,CZ06CZ07,6.2,0.5,5.6,0.0,0.0
CZ07,CZ07,CZ07CZ07,9223.9,1216236.2,1208588.3,80288.0,77197.0
CZ08,CZ08,CZ08CZ08,5426.9,1206561.6,1205545.1,70245.0,67359.0
DE11,DE11,DE11DE11,10515.5,4122885.6,3911315.0,167140.0,162544.0
DE12,DE12,DE12DE12,6906.8,2793635.5,2663081.1,113668.0,111073.0
DE13,DE13,DE13DE13,9349.7,2251762.4,2144176.2,113271.0,109674.0
DE14,DE14,DE14DE14,8910.8,1844051.8,1760650.9,105474.0,101420.0
DE21,DE21,DE21DE21,17267.6,4642317.1,4321552.7,223476.0,215730.0
DE22,DE22,DE22DE22,10308.4,1228955.4,1172160.4,109925.0,104904.0
DE23,DE23,DE23DE23,9658.9,1103003.5,1069477.5,91384.0,86417.0
DE24,DE24,DE24DE24,7193.6,1066344.7,1063384.5,77396.0,74042.0
DE25,DE25,DE25DE25,7210.6,1757552.7,1679892.0,91942.0,89164.0
DE26,DE26,DE26DE26,8487.7,1313154.9,1300568.1,90853.0,88487.0
DE27,DE27,DE27DE27,9946.0,1868864.6,1774548.4,114823.0,110621.0
DE30,DE30,DE30DE30,890.7,3610377.6,3282302.3,63860.0,63515.0
DE41,DE40,DE41DE40,15563.4,1119692.0,1106735.2,129632.0,126773.0
DE42,DE40,DE42DE40,14026.5,1385922.0,1356729.7,176538.0,171669.0
DE50,DE50,DE50DE50,384.5,678638.6,644807.3,24255.0,23886.0
DE60,DE60,DE60DE60,736.8,1826411.7,1697538.2,48932.0,48595.0
DE71,DE71,DE71DE71,7409.5,3975495.0,3739029.2,141523.0,139047.0
DE72,DE72,DE72DE72,5358.3,1045874.3,1025269.2,62009.0,60630.0
DE73,DE73,DE73DE73,8262.8,1218179.9,1204349.5,87684.0,85291.0
DE80,DE80,DE80DE80,23007.8,1603294.8,1604091.2,185615.0,180569.0
DE91,DE91,DE91DE91,8095.7,1595394.1,1577568.7,103655.0,101223.0
DE92,DE92,DE92DE92,9053.4,2143566.0,2095388.9,129488.0,125203.0
DE93,DE93,DE93DE93,15430.8,1706548.8,1672108.3,166649.0,159571.0
DE93,DE50,DE93DE50,14.4,4.2,0.2,11.0,59.0
DE94,DE94,DE94DE94,14947.3,2514708.4,2436425.3,215247.0,202820.0
DEA1,DEA1,DEA1DEA1,5280.3,5194461.4,5074998.4,188021.0,184548.0
DEA2,DEA2,DEA2DEA2,7343.6,4447136.3,4283091.8,183780.0,179289.0
DEA3,DEA3,DEA3DEA3,6905.9,2619119.7,2570213.0,134677.0,130070.0
DEA4,DEA4,DEA4DEA4,6515.6,2054034.7,2028583.3,118883.0,115254.0
DEA5,DEA5,DEA5DEA5,8000.0,3582418.2,3573668.7,160447.0,157578.0
DEB1,DEB1,DEB1DEB1,8035.3,1491077.7,1481351.3,96864.0,94400.0
DEB2,DEB2,DEB2DEB2,4907.8,529142.3,517873.1,46186.0,44593.0
DEB3,DEB3,DEB3DEB3,6796.1,2049451.1,1987277.2,99228.0,96992.0
DEC0,DEC0,DEC0DEC0,2556.0,988974.2,999524.2,56470.0,55384.0
DED1,DED4,DED1DED4,6079.9,1381543.2,1431523.2,100644.0,98645.0
DED2,DED2,DED2DED2,7927.8,1597091.7,1590108.1,135035.0,131377.0
DED3,DED5,DED3DED5,3964.6,1035095.4,966127.8,67971.0,66776.0
DED3,DED4,DED3DED4,422.8,63375.8,66470.5,5706.0,5574.0
DEE0,DEE0,DEE0DEE0,20507.2,2222640.7,2286998.1,209869.0,204082.0
DEF0,DEF0,DEF0DEF0,15573.2,2879449.0,2795713.3,215525.0,207325.0
DEG0,DEG0,DEG0DEG0,16116.2,2151358.3,2188185.1,162697.0,159191.0
DK01,DK01,DK01DK01,2514.1,1525629.9,1670790.1,80451.0,79069.0
DK02,DK02,DK02DK02,7217.6,822046.8,812361.6,97048.0,93228.0
DK03,DK03,DK03DK03,12103.3,1207395.7,1192268.0,140928.0,132759.0
DK04,DK04,DK04DK04,13050.5,1300658.3,1252857.4,141076.0,133618.0
DK05,DK05,DK05DK05,7885.3,583382.6,574996.4,80703.0,77726.0
EE00,EE00,EE00EE00,43417.7,1331858.0,1288015.8,136286.0,131199.0
ES11,ES11,ES11ES11,29564.3,2674478.2,2745687.4,185359.0,180847.0
ES12,ES12,ES12ES12,10600.1,1025913.7,1072591.5,45736.0,45564.0
ES13,ES13,ES13ES13,5319.6,575687.2,587452.4,28859.0,27538.0
ES21,ES21,ES21ES21,7227.6,2192616.9,2175445.6,56707.0,54340.0
ES21,ES13,ES21ES13,4.9,6.5,7.5,4.0,4.0
ES22,ES22,ES22ES22,10390.3,647609.8,638483.7,32695.0,32006.0
ES23,ES23,ES23ES23,5044.6,315280.2,320762.0,17033.0,17062.0
ES24,ES24,ES24ES24,47720.0,1308791.0,1338019.3,89969.0,82621.0
ES30,ES30,ES30ES30,8014.6,6577909.3,6420262.8,136080.0,133248.0
ES41,ES41,ES41ES41,94214.2,2409112.1,2528427.1,219918.0,208090.0
ES42,ES42,ES42ES42,79449.1,2026360.5,2102720.3,163686.0,160002.0
ES43,ES43,ES43ES43,41633.9,1072866.1,1103357.7,74478.0,71176.0
ES51,ES51,ES51ES51,32096.0,7587201.4,7499803.8,222617.0,211552.0
ES52,ES52,ES52ES52,23254.5,4951838.9,5005524.3,184811.0,178286.0
ES53,ES53,ES53ES53,4986.5,1113981.5,1088050.0,57567.0,55066.0
ES61,ES61,ES61ES61,87597.7,8356947.7,8362144.9,350015.0,332863.0
ES62,ES62,ES62ES62,11311.0,1476102.4,1463039.2,71440.0,68829.0
ES63,ES63,ES63ES63,18.3,78685.4,78762.5,896.0,876.0
ES64,ES64,ES64ES64,12.7,81006.1,79152.7,988.0,985.0
ES70,ES70,ES70ES70,7446.3,2109626.3,2073661.5,76136.0,75607.0
FI13,FI1D,FI13FI1D,85136.6,620954.5,643757.9,102041.0,92156.0
FI13,FI1C,FI13FI1C,1.2,0.0,1.0,0.0,0.0
FI18,FI1B,FI18FI1B,9344.7,1600633.9,1487455.9,111963.0,105448.0
FI18,FI1C,FI18FI1C,34808.6,1131347.4,1138539.5,175818.0,165516.0
FI18,FI1D,FI18FI1D,362.7,630.0,767.1,380.0,338.0
FI19,FI19,FI19FI19,64411.4,1362966.6,1351423.0,237643.0,225351.0
FI1A,FI1D,FI1AFI1D,141482.7,644515.5,641155.6,135360.0,125556.0
FI20,FI20,FI20FI20,1288.7,28320.5,27073.2,6306.0,5916.0
FR10,FR10,FR10FR10,12059.4,12100657.1,11770187.0,306781.0,301157.0
FR21,FRF2,FR21FRF2,25707.3,1332733.3,1335412.0,144919.0,138807.0
FR22,FRE2,FR22FRE2,19483.9,1932089.3,1915366.8,175628.0,169157.0
FR22,FRF2,FR22FRF2,7.6,49.0,51.0,5.0,5.0
FR23,FRD2,FR23FRD2,12316.6,1856018.9,1834898.2,159180.0,153222.0
FR24,FRB0,FR24FRB0,39514.9,2577707.7,2547490.0,280988.0,266936.0
FR25,FRD1,FR25FRD1,17737.5,1474799.6,1470297.2,159939.0,151733.0
FR26,FRC1,FR26FRC1,31741.5,1637601.9,1640883.9,188861.0,181938.0
FR30,FRE1,FR30FRE1,12429.0,4063160.0,4029577.5,238075.0,229968.0
FR41,FRF3,FR41FRF3,23655.2,2341164.4,2350881.0,192640.0,186737.0
FR42,FRF1,FR42FRF1,8325.8,1885852.8,1849137.1,110581.0,108221.0
FR43,FRC2,FR43FRC2,16300.9,1179828.6,1171220.7,123864.0,118619.0
FR51,FRG0,FR51FRG0,32326.5,3735104.7,3569415.1,380338.0,363657.0
FR52,FRH0,FR52FRH0,27378.9,3293037.7,3185435.7,354742.0,341933.0
FR53,FRI3,FR53FRI3,25917.8,1804085.9,1767872.2,227259.0,217928.0
FR61,FRI1,FR61FRI1,41709.2,3391214.1,3233088.7,332927.0,316191.0
FR62,FRJ2,FR62FRJ2,45582.3,3014856.4,2881423.8,282267.0,268766.0
FR63,FRI2,FR63FRI2,17047.6,735912.6,742781.7,99076.0,94480.0
FR71,FRK2,FR71FRK2,44708.0,6554013.4,6232326.5,457912.0,440581.0
FR72,FRK1,FR72FRK1,26162.2,1363265.5,1347138.7,149857.0,142499.0
FR81,FRJ1,FR81FRJ1,27750.6,2791933.8,2635317.5,201566.0,190841.0
FR82,FRL0,FR82FRL0,31655.9,4993037.6,4886467.3,320874.0,308472.0
FR83,FRM0,FR83FRM0,8719.1,325859.6,306000.9,38162.0,36232.0
FR91,FRY1,FR91FRY1,1679.1,1679.1,1679.1,1679.061849215956,1679.061849215956
FR92,FRY2,FR92FRY2,1103.4,1103.4,1103.4,1103.441468227935,1103.441468227935
FR93,FRY3,FR93FRY3,83544.9,83544.9,83544.9,83544.93392874738,83544.93392874738
FR94,FRY4,FR94FRY4,2500.2,2500.2,2500.2,2500.201348032456,2500.201348032456
GR11,EL51,GR11EL51,14149.6,605228.7,609206.0,53701.0,49277.0
GR12,EL52,GR12EL52,18796.4,1872696.7,1917575.9,107454.0,101109.0
GR13,EL53,GR13EL53,9443.7,283690.8,285803.0,39299.0,35974.0
GR14,EL61,GR14EL61,14024.3,728976.1,744391.3,58130.0,54931.0
GR21,EL54,GR21EL54,9131.1,334772.5,343621.5,32638.0,32363.0
GR22,EL62,GR22EL62,2279.7,201547.5,202336.2,21794.0,20693.0
GR23,EL63,GR23EL63,11286.5,674323.4,685633.6,49588.0,47443.0
GR24,EL64,GR24EL64,15528.5,540057.3,553688.0,63531.0,60654.0
GR25,EL65,GR25EL65,15486.9,571068.8,583044.3,56102.0,55009.0
GR30,EL30,GR30EL30,3785.9,3809243.1,3977415.7,91786.0,90035.0
GR30,EL64,GR30EL64,2.1,44.4,0.0,127.0,116.0
GR41,EL41,GR41EL41,3830.8,191408.4,193947.6,12001.0,11575.0
GR42,EL42,GR42EL42,5254.9,302656.3,327058.7,32540.0,31458.0
GR43,EL43,GR43EL43,8331.5,619077.0,622998.7,37700.0,36508.0
